acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state
Independent School District 716,NA,167818,2020,School District,33601992,19871381,2170821,1001691,0,0,9541079,0,921471,0,0,1332427,2859289,0,18141433,2373688,19959461,0,0,0,22333149,FALSE,Independent School District 716,1.5045792243628517,1 - 5%,Minnesota
Independent School District 885,NA,167817,2020,School District,225827014,167387327,10762593,298552,0,0,44210952,0,2889191,0,278399,6928606,15492557,2959259,64551739,-2851046,92783207,0,0,0,89932161,FALSE,Independent School District 885,2.5110818142132714,1 - 5%,Minnesota
Board of Education of School District #83,NA,197017,2020,School District,1837797,1760000,0,77797,0,0,0,0,0,0,0,86642,664918,47581,8794505,584602,9009044,0,0,0,9593646,FALSE,Board of Education of School District #83,0.1915639789085401, Below 1%,Nebraska
School District 1-Bellevue Public Schools,NA,108868,2020,School District,0,74440000,0,416583,0,0,37015586,0,0,0,0,1660830,70816755,0,74683474,12169903,134991156,0,0,0,147161059,FALSE,1-bellevue,0, Below 1%,Nebraska
Independent School District 129 Montevideo,NA,167812,2020,School District,22383768,5863634,1273005,112830,0,0,13854167,0,1193025,0,87107,1760336,7040990,344705,13678652,-1068948,23893631,0,0,0,22824683,FALSE,129 montevideo,0.9806825356566836, Below 1%,Minnesota
Independent School District 13 - Columbia Heights,NA,34802,2020,School District,67142710,24269353,10707272,5603447,0,0,26270976,0,0,2294757,291662,1272136,22416844,1007703,34155369,-3305671,62157723,0,0,0,58852052,FALSE,13 - columbia heights,1.1408728789949414,1 - 5%,Minnesota
Independent School District 14 Fridley,NA,167831,2020,School District,90284876,52627810,4669836,3115642,0,0,26043479,0,2984659,0,422316,2014660,19181074,604584,32078833,1677746,52201405,0,0,0,53879151,FALSE,14 fridley,1.6756922543193007,1 - 5%,Minnesota
School District 17-Millard Public Schools,NA,109312,2020,School District,0,204490000,0,727282,0,0,67786941,0,0,0,0,6032678,23693588,0,319823848,76479294,273070820,0,0,0,349550114,FALSE,17-millard,0, Below 1%,Nebraska
School District 18-Hastings Public Schools,NA,35465,2020,School District,0,45845000,0,0,0,0,12886658,0,0,0,0,1703734,8202102,43175,63789460,5790126,67948345,0,2732,0,73738471,FALSE,18-hastings,0, Below 1%,Nebraska
Independent School District 2310 - Sibley East,NA,167814,2020,School District,49320536,37331496,1071239,0,0,0,8098158,0,2518541,0,30805,1364119,1233333,100046,14644689,102536,17239651,0,0,0,17342187,FALSE,2310 - sibley east,2.8439628750399244,1 - 5%,Minnesota
School District 27j,NA,196446,2020,School District,630297514,374842094,37972652,0,0,0,212553909,0,10447896,0,3427027,8137719,19003996,0,34156678,5920590,180282491,951413,0,0,186203081,FALSE,27j,3.3850004554972966,1 - 5%,Colorado
Independent School District 317 - Deer River,NA,167837,2020,School District,28103012,16627114,2123335,192361,0,440000,8451081,0,202198,0,66923,1104996,7329272,140977,9917431,-613619,19106295,0,0,0,18492676,FALSE,317 - deer river,1.5196833600502166,1 - 5%,Minnesota
School District 37-Gretna Public Schools,NA,109176,2020,School District,0,178870000,0,0,0,0,15044057,0,0,0,0,1489126,4395522,0,118352741,8302980,115934409,0,0,0,124237389,FALSE,37-gretna,0, Below 1%,Nebraska
Independent School District 719 Prior Lake-Savage Area Schools,NA,34900,2020,School District,300149142,195739345,19682160,8795814,0,0,62891073,0,12382722,0,658028,9598647,16930262,1530246,104957742,2371879,130645018,0,225958,0,133016897,FALSE,719 prior lake-savage area schools,2.256473792197994,1 - 5%,Minnesota
Independent School District 720 - Shakopee,NA,81327,2020,School District,268345925,169481564,17730465,3514599,0,9855653,61076308,0,6207766,0,479570,3482707,25548851,807794,100416304,9586083,120669573,0,0,0,130255656,FALSE,720 - shakopee,2.0601479677780747,1 - 5%,Minnesota
A-H-S-T Community School District,NA,162856,2020,School District,9388788,3995000,1363097,0,0,0,3887915,0,114863,0,27913,534433,1990883,51456,9510739,1104882,10982629,0,0,0,12087511,FALSE,a-h-s-t community,0.7767345982146365, Below 1%,Iowa
Abbeville County School District,NA,41793,2020,School District,74268257,0,3387527,0,0,0,39027647,0,31508721,0,344362,172722,20507377,0,13834171,-2777153,37291423,0,0,0,34514270,FALSE,abbeville,2.1518130616698543,1 - 5%,South Carolina
Abbotsford School District,NA,48321,2020,School District,4943706,3981117,776797,0,0,0,0,803632,70941,0,114851,188080,951850,0,10489185,825519,10803596,0,0,0,11629115,FALSE,abbotsford,0.42511455084931227, Below 1%,Wisconsin
Abbott Independent School District,NA,163307,2020,School District,5787632,4010568,304407,0,0,0,579904,0,892753,0,0,99244,464119,0,3713487,396312,3880538,0,0,0,4276850,FALSE,abbott,1.3532464313688812,1 - 5%,Texas
ABC Unified School District,NA,145869,2020,School District,461481633,132469033,32870530,0,0,0,246015588,0,48286720,0,1321458,2391763,52138755,0,218222698,-557844,273311060,0,0,0,272753216,FALSE,abc unified,1.6919383747981178,1 - 5%,California
Aberdeen School District,NA,35052,2020,School District,25788093,1225000,604622,1808242,0,2658853,18206461,0,1206821,0,78094,176820,2630071,0,11972656,550270,14229277,0,0,0,14779547,FALSE,aberdeen,1.7448500282180504,1 - 5%,Mississippi
Aberdeen School District 58,NA,71133,2020,School District,13245501,11170246,825299,0,0,0,1249956,0,0,266639,0,66892,1676970,0,6434589,630072,7548379,0,0,0,8178451,FALSE,aberdeen,1.6195610880348859,1 - 5%,Idaho
Aberdeen School District 6-1,NA,38411,2020,School District,27921841,7203649,5262352,2003,0,0,0,125107,1913392,0,157801,1306374,7719970,0,39976815,-2137143,51140302,0,0,0,49003159,FALSE,aberdeen6-,0.5697967553479563, Below 1%,South Dakota
Aberdeen School District No.5,NA,39623,2020,School District,1194121,13170000,1194121,0,0,0,13649902,0,0,0,1326274,0,0,0,56230024,-594602,56824626,0,0,0,56230024,FALSE,aberdeenno,0.021236359422503535, Below 1%,Washington
Abernathy Independent School District,NA,163308,2020,School District,24455729,17815000,18474247,0,0,0,2037713,0,3210327,0,0,228367,1655478,0,11047481,676683,12254643,0,0,0,12931326,FALSE,abernathy,1.8912004074446813,1 - 5%,Texas
Abilene Independent School District,NA,39205,2020,School District,396914644,254923660,23855798,359217,0,5515000,49216226,0,62505269,0,539474,3845647,40267891,275828,151482456,-12648072,208519894,755975,9392,0,195871822,FALSE,abilene,2.0263999177993046,1 - 5%,Texas
Abilene Unified School District No. 435,NA,42658,2020,School District,0,25360000,0,292306,0,0,11966245,0,0,0,0,0,0,0,24984420,-656429,25640849,0,0,0,24984420,FALSE,abilene unifiedno,0, Below 1%,Kansas
Abington School District,NA,38087,2020,School District,479861259,151950000,23306667,0,0,0,269327000,0,19118051,0,2677790,1536260,24012146,6033425,134844540,5886048,160540323,0,0,0,166426371,FALSE,abington,2.8833246565233344,1 - 5%,Pennsylvania
Abington Heights School District,NA,38017,2020,School District,100436708,3229240,7354333,755759,0,0,74618000,0,13457962,0,1021414,975603,9129379,0,40405502,107956,50402528,0,0,0,50510484,FALSE,abington heights,1.9884328964260172,1 - 5%,Pennsylvania
Absecon Board of Education,NA,47243,2020,School District,7560058,3945000,750950,238909,0,0,2225818,0,0,0,399382,410742,5906766,0,14056239,388127,19985619,0,0,0,20373747,FALSE,absecon,0.3710686109923717, Below 1%,New Jersey
Academy Independent School District,NA,54433,2020,School District,30360411,18823580,1159971,0,0,1477148,3899922,0,5089790,0,0,639180,2807434,0,16113089,394168,19165535,0,0,0,19559703,FALSE,academy,1.5521918200905198,1 - 5%,Texas
Acadia Parish School Board,NA,33817,2020,School District,472791422,6303575,11675788,672941,0,0,92336426,0,355351965,0,4823549,896898,20197250,0,82092412,-30990730,134177290,0,0,0,103186560,FALSE,acadia parish school board,4.581908942404902,1 - 5%,Louisiana
Acalanes Union High School District,NA,145870,2020,School District,310514054,222181202,3410405,0,0,0,75365930,0,8987230,0,569287,2153141,9158200,0,88646370,2168826,97788885,0,0,0,99957711,FALSE,acalanes union high,3.1064542284286603,1 - 5%,California
Achille School District I-003,NA,146827,2020,School District,2537712,480000,135334,1922378,0,0,0,0,0,0,0,0,0,0,4129183,62205,4066979,0,0,0,4129184,FALSE,achillei-,0.6145795392019343, Below 1%,Oklahoma
Acton-Agua Dulce Unified School District,NA,31246,2020,School District,37036366,16242233,3115773,504902,0,0,13846168,0,1072322,0,107824,193270,4169654,1280,16680974,1826649,19218529,0,0,0,21045178,FALSE,acton-agua dulce unified,1.759850451253014,1 - 5%,California
Acton-Boxborough Regional School District,NA,44424,2020,School District,175261265,91016968,5816585,2235720,0,0,31360065,0,39506843,0,3400950,3241703,24956759,2768557,91680421,-1880176,124527616,0,0,0,122647440,FALSE,acton-boxborough regional,1.4289842902550596,1 - 5%,Massachusetts
Ada Exempted Village School District,NA,82416,2020,School District,0,2260000,0,0,0,0,1940350,0,828658,641792,0,1019561,1151508,29089,10540218,498445,12241931,0,0,0,12740376,FALSE,ada exempted village,0, Below 1%,Ohio
Adair County School District,NA,42836,2020,School District,38641379,20527018,637649,0,0,0,9326450,0,7208852,0,924412,113283,12506734,637506,18195504,286206,31166821,0,0,0,31453027,FALSE,adair,1.228542454753242,1 - 5%,Kentucky
Adair School District No. I-2,NA,190729,2020,School District,5146911,4253965,892946,0,0,0,0,0,0,0,0,0,5304124,0,4607469,-34990,9946583,0,0,0,9911593,FALSE,adairno i-,0.5192819156315236, Below 1%,Oklahoma
Adams County School District 14,NA,32029,2020,School District,216451472,66176475,15146158,672409,0,0,119330922,0,5867491,0,2377996,564579,19019709,0,76730419,31166621,65148086,0,0,0,96314707,FALSE,adams,2.247335622378003,1 - 5%,Colorado
Adams County/Ohio Valley Local School District,NA,49868,2020,School District,60626397,0,5270178,0,0,0,46518788,0,4418709,2715177,0,11338185,11735307,0,39780702,-3057090,65911284,0,0,0,62854194,FALSE,adams /ohio valley local,0.9645561121983364, Below 1%,Ohio
Adams 12 Five Star Schools,NA,32033,2020,School District,1332705433,557950682,77573274,31537575,0,0,616603671,0,30315215,0,0,23393754,64150899,0,463563856,181354366,369754143,0,0,0,551108509,FALSE,adams 12 five star schools,2.4182269212613448,1 - 5%,Colorado
Adams Central School District No. 90,NA,190212,2020,School District,0,16795000,0,0,0,0,3559120,0,0,0,0,1396800,1004722,0,16003821,-840363,19245706,0,0,0,18405343,FALSE,adams centralno,0, Below 1%,Nebraska
Adams Schools,NA,161847,2020,School District,874328,0,87382,0,0,0,639721,0,147225,0,0,0,9342,0,600054,134183,475213,0,0,0,609396,FALSE,adams schools,1.434745223138977,1 - 5%,Michigan
Adams-Friendship Area School District,NA,39927,2020,School District,3387895,0,912974,0,0,537676,0,2065765,1654239,0,283006,370088,4936388,0,18236024,1023079,22519421,0,0,0,23542500,FALSE,adams-friendship area,0.14390549007114792, Below 1%,Wisconsin
Ada School District No.1-19,NA,168354,2020,School District,15492506,14211565,1280941,0,0,0,0,0,0,0,0,0,14843780,0,12944069,-2538747,30326596,0,0,0,27787849,FALSE,adano1-,0.5575280763905115, Below 1%,Oklahoma
Addison Central School District,NA,36388,2020,School District,91361811,13380000,3261775,0,0,10200000,2148944,1411067,61583809,0,787283,94972,2229922,1320563,30314802,-521088,34481347,0,0,0,33960259,FALSE,addison central,2.6902566025777364,1 - 5%,New York
Addison Central School District,NA,59279,2020,School District,2506055,1464500,811539,0,0,53853,176163,0,0,0,0,1157068,24322677,0,32602740,903581,57178904,0,0,0,58082485,FALSE,addison central,0.04314648383243244, Below 1%,Vermont
Addison Community Schools,NA,160777,2020,School District,33875610,11515000,876633,1832100,171425,24303,15784473,0,3452683,0,122172,167116,1559033,0,8931280,-2470760,13128189,0,0,0,10657429,FALSE,addison community schools,3.1785911968074103,1 - 5%,Michigan
Addison Northwest School District,NA,59143,2020,School District,13636341,10995000,1385324,0,0,7948,1144891,0,0,0,103178,180537,13105770,0,21664822,854572,34096557,0,0,0,34951129,FALSE,addison northwest,0.3901545211887147, Below 1%,Vermont
Addison School District No.4,NA,32980,2020,School District,33266637,2690385,636207,0,135000,0,2533136,272373,27544282,0,0,1128067,27760291,0,46928244,4451943,71364659,0,0,0,75816602,FALSE,addisonno,0.43877773630635675, Below 1%,Illinois
Adel-Desoto-Minburn Community School District,NA,162845,2020,School District,47102961,33373252,3335885,0,0,295000,9108326,0,990498,0,0,2648836,1758447,12017,22535433,2327046,24627687,0,0,0,26954733,FALSE,adel-desoto-minburn community,1.7474838648930413,1 - 5%,Iowa
Adelanto Elementary School District,NA,145873,2020,School District,154621052,14076969,12272084,1635835,0,0,96466733,0,21306610,0,944798,944430,15313431,-1044837,99455544,-5077221,119745789,0,0,0,114668568,FALSE,adelanto elementary,1.3484170483405706,1 - 5%,California
Adena Local School District,NA,37234,2020,School District,16760091,402581,1278497,709467,0,0,12351222,0,1245379,0,772945,979636,2052545,0,12259706,491417,14800470,0,0,0,15291887,FALSE,adena local,1.0960119571901101,1 - 5%,Ohio
Adirondack Central School District,NA,36292,2020,School District,117466994,12745312,1324674,0,0,6482206,3082573,1370065,92073352,0,1758877,181717,1602405,0,28096108,5973140,23907094,0,0,0,29880234,FALSE,adirondack central,3.931260846216934,1 - 5%,New York
Adlai E.Stevenson High School District No. 125,NA,169683,2020,School District,41218447,41065000,0,153447,0,0,11810641,0,48057326,0,0,5671993,38537945,0,103530757,-1156796,148897491,0,0,0,147740695,FALSE,adlai estevenson highno,0.27899183092376817, Below 1%,Illinois
Adrian Independent School District,NA,163311,2020,School District,6201596,4784754,127956,0,0,0,405662,0,883224,0,0,20198,348723,0,2794680,-17907,3181508,0,0,0,3163601,FALSE,adrian,1.9602965102109906,1 - 5%,Texas
Adrian Public Schools,NA,34498,2020,School District,140386661,62487559,3785881,0,0,0,60032238,0,13049805,0,402782,1963995,12857905,0,27072467,-1995363,43889730,0,0,0,41894367,FALSE,adrian,3.3509674701613226,1 - 5%,Michigan
Adrian School District No.61,NA,86252,2020,School District,4757217,4757217,0,0,0,0,0,0,0,0,0,126309,510500,0,4516791,258048,4895552,0,0,0,5153600,FALSE,adrianno,0.9230861921763428, Below 1%,Oregon
A.E.R.O Special Education Cooperative,NA,42481,2020,School District,61229,0,61229,0,0,0,2346289,0,10042133,0,0,22833657,7981486,0,368071,2829878,28353336,0,0,0,31183214,FALSE,aero special education cooperative,0.0019635243499916332, Below 1%,Illinois
Affton School District,NA,35311,2020,School District,21786972,20210000,0,66580,0,0,0,0,0,0,0,2190993,6271229,0,28890096,1312449,36039869,0,0,0,37352318,FALSE,affton,0.5832829973229506, Below 1%,Missouri
Afton Central School District,NA,168158,2020,School District,13712838,6390937,1002857,0,0,0,1493284,685844,3746080,0,1079680,32867,1121710,0,15442811,-81002,16678390,0,0,0,16597388,FALSE,afton central,0.8262045811063765, Below 1%,New York
Afton School District I-26,NA,185170,2020,School District,337036,0,275826,61210,0,0,0,0,0,0,0,0,0,0,4914100,145041,4769059,0,0,0,4914100,FALSE,aftoni-,0.06858549887059685, Below 1%,Oklahoma
Agbu Alex-Marie Manoogian School,NA,161622,2020,School District,8314243,0,506968,0,0,0,6410451,0,1396824,0,0,0,187092,0,3694117,5184,3876025,0,0,0,3881209,FALSE,agbu alex-marie manoogian school,2.142178635574637,1 - 5%,Michigan
Agra School District I-134,NA,146836,2020,School District,1061627,610000,376183,75444,0,0,0,0,0,0,0,0,0,0,3338759,-118121,3456880,0,0,0,3338759,FALSE,agrai-,0.317970539353095, Below 1%,Oklahoma
Agua Dulce Independent School District,NA,163312,2020,School District,7951766,5296362,193808,0,0,0,1044157,0,1383839,0,33600,29393,867597,0,5464427,556729,5804688,0,0,0,6361417,FALSE,agua dulce,1.249999174712175,1 - 5%,Texas
Agua Fria Union High School District No. 216,NA,30573,2020,School District,222014818,154298523,8586881,121459,0,0,57379603,0,0,0,1628352,5138145,5121591,1399902,77856511,-3978404,93494553,0,0,0,89516149,FALSE,agua fria union highno,2.480164981181217,1 - 5%,Arizona
Agwsr Community School District,NA,162835,2020,School District,9298988,4000000,863049,0,0,0,3754974,0,577035,0,103930,1006800,1048665,0,8810964,529641,10336788,0,0,0,10866429,FALSE,agwsr community,0.8557538083578331, Below 1%,Iowa
Ainsworth Community Schools District No. 10,NA,108582,2020,School District,0,0,0,0,0,2144000,0,0,0,0,0,90755,807463,0,7552549,587070,7863697,0,0,0,8450767,FALSE,ainsworth community schools district no,0, Below 1%,Nebraska
Airport Community Schools,NA,34547,2020,School District,89524598,27305954,3554839,0,0,0,47020857,0,10070554,0,1572394,560198,6701411,0,25244067,-1756732,34262408,0,0,0,32505676,FALSE,airport community schools,2.7541220185668496,1 - 5%,Michigan
Akron Central School District,NA,36186,2020,School District,27052615,16520482,2905078,0,0,999757,2473348,1570384,3065589,0,1088361,2258463,2650915,6075,29514084,3129505,31300032,0,0,0,34429537,FALSE,akron central,0.7857385651163418, Below 1%,New York
Akron City School District,NA,37265,2020,School District,541155780,0,110043923,0,0,0,364023183,0,33941669,21362474,33147005,9590152,76631143,835240,318969429,-39880103,445906067,0,0,0,406025964,FALSE,akron city,1.3328107756182803,1 - 5%,Ohio
Akron-Fairgrove Schools,NA,161636,2020,School District,20655455,11829107,1146188,0,0,565060,5787990,0,1274453,0,52657,10711,1550523,0,3512461,-255879,5329574,0,0,0,5073695,FALSE,akron-fairgrove schools,4.071087245094551,1 - 5%,Michigan
Akron-Westfiled Community School District,NA,162860,2020,School District,6645497,0,802061,284858,0,0,3415102,0,1703343,0,216351,1348141,1132815,84178,6859477,688071,8736540,0,0,0,9424611,FALSE,akron-westfiled community,0.7051216225263833, Below 1%,Iowa
Akros Middle School,NA,82431,2020,School District,1354033,0,45013,31843,75411,0,1136173,0,65593,72461,0,0,0,348321,1190394,72023,1466692,0,0,0,1538715,FALSE,akros middle school,0.8799764738759289, Below 1%,Ohio
Alabaster City Board of Education,NA,56759,2020,School District,225522380,1639695,6963186,1903376,0,0,57196000,0,22614612,0,625060,5599777,44279329,2009965,28147003,5899158,74136916,0,0,0,80036074,FALSE,alabaster city,2.8177591519544047,1 - 5%,Alabama
Alachua District School Board County,NA,98979,2020,School District,392022915,0,25736243,8037063,0,0,169878114,0,8398616,0,26349258,4336664,20886033,2160250,314562803,5050543,336895207,0,0,0,341945750,FALSE,alachua,1.1464476894361166,1 - 5%,Florida
Alamance-Burlington Board of Education,NA,40253,2020,School District,352231358,0,12191866,0,0,0,87178852,0,232858984,322356,11503693,5651490,170031760,668108,58536701,2531812,232356247,0,0,0,234888059,FALSE,alamance-burlington,1.4995711552965747,1 - 5%,North Carolina
Alameda County Office of Education,NA,40359,2020,School District,54641925,0,5238521,383185,0,0,40802260,0,7109262,0,1108697,408327,12565070,0,39570586,4961448,47582535,0,0,0,52543983,FALSE,alameda  office of education,1.0399273500069457,1 - 5%,California
Alameda Unified School District,NA,145874,2020,School District,433863907,275448605,16706120,0,0,0,124851101,0,16456000,0,402081,3277054,26712122,162679,119376765,5204267,144324353,0,0,0,149528620,FALSE,alameda unified,2.9015442461784238,1 - 5%,California
Alamo Board of Education,NA,106527,2020,School District,907043,150000,437641,0,0,0,175431,805380,228712,0,0,412261,4922658,0,623560,429340,5529139,0,0,0,5958479,FALSE,alamo,0.15222727142279094, Below 1%,Tennessee
Alamo City Schools,NA,106528,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53314,10675,42639,0,0,0,53314,FALSE,alamo city schools,0, Below 1%,Tennessee
Alamo Heights Independent School District,NA,43490,2020,School District,225554122,182966417,11039535,0,0,0,14655618,0,16892552,0,0,3374294,5243806,0,91075726,2016519,97677307,0,0,0,99693826,FALSE,alamo heights,2.26246830972261,1 - 5%,Texas
Alamogordo Municipal School District No.1,NA,35944,2020,School District,142664046,40694451,3843045,0,0,0,76252668,0,21527516,0,346366,382499,16595888,6431618,54742923,39395294,38757634,0,0,0,78152928,FALSE,alamogordo,1.8254472308446332,1 - 5%,New Mexico
Alamosa School District Re-11j,NA,32034,2020,School District,47141932,10431919,4914892,186062,0,0,29645208,0,1457593,0,175510,82850,4608847,516853,27903216,7748318,25363448,0,0,0,33111766,FALSE,alamosare-11j,1.4237214650526342,1 - 5%,Colorado
Alanson Public Schools,NA,161469,2020,School District,7002227,2000000,348685,0,0,0,3778694,0,846465,0,28383,123638,802843,38315,2054679,-79393,3098868,0,0,0,3019475,FALSE,alanson,2.319021353049785,1 - 5%,Michigan
Alaska Gateway School District,NA,30400,2020,School District,7710358,0,1289902,0,0,0,6257515,0,130289,293913,32652,5252,4189323,521800,10634870,1764187,13587058,0,0,0,15351245,FALSE,alaska gateway,0.5022627154996223, Below 1%,Alaska
Alba Public Schools,NA,161637,2020,School District,3916811,850000,149183,0,0,26049,2367330,0,524249,0,0,4380,565887,0,1193716,33279,1730704,0,0,0,1763983,FALSE,alba,2.2204357978506595,1 - 5%,Michigan
Alba-Golden Independent School District,NA,163313,2020,School District,8893683,1586079,809395,0,145627,0,2316467,0,4036115,0,0,230284,1831754,0,10326756,-116670,12505464,0,0,0,12388794,FALSE,alba-golden,0.7178812562385007, Below 1%,Texas
Albany Independent School District,NA,163314,2020,School District,4468777,0,216209,0,0,872000,1418615,0,1961953,0,0,68705,1207460,0,5482053,-167192,6925410,0,0,0,6758218,FALSE,albany,0.6612359944588944, Below 1%,Texas
Albany County School District No.1,NA,40140,2020,School District,70741598,17342543,8145508,410187,0,0,43756567,0,0,0,1086794,449627,5118402,0,63247924,-2094054,70910007,0,0,0,68815953,FALSE,albany no,1.0279825377118588,1 - 5%,Wyoming
Albany Unified School District,NA,145875,2020,School District,174496118,89944889,13629605,15756,0,0,48391096,0,22005621,0,0,839147,24871487,0,50410966,-5531849,81653449,0,0,0,76121600,FALSE,albany unified,2.2923338185219437,1 - 5%,California
Albert City Truesday Community School District,NA,162837,2020,School District,1502568,0,492911,0,0,0,737835,0,233396,0,38426,122708,595621,750,2698199,198132,3219146,0,0,0,3417278,FALSE,albert city truesday community,0.43969732635155817, Below 1%,Iowa
Albert Gallatin Area School District,NA,44210,2020,School District,133367485,20165059,7013339,0,0,0,69800000,0,31555792,0,1673295,446587,17504871,0,38444983,-510297,56906738,0,0,0,56396441,FALSE,albert gallatin area,2.364820946768609,1 - 5%,Pennsylvania
Albertville City Board of Education,NA,30368,2020,School District,117898016,0,3509105,274144,0,778901,39959000,0,17735291,0,0,3534539,42098762,1654011,14195346,6750431,54732227,0,0,0,61482658,FALSE,albertville city,1.9175816374106662,1 - 5%,Alabama
Albia Community School District,NA,162820,2020,School District,18333378,10350000,1010351,0,0,277000,5690374,0,794036,0,211617,810576,1702274,0,13080836,-368818,15962504,0,0,0,15593686,FALSE,albia community,1.175692392420881,1 - 5%,Iowa
Albion Public Schools,NA,148619,2020,School District,209481,100000,109481,0,0,0,0,0,0,0,0,0,364657,0,368216,-147055,879928,0,0,0,732873,FALSE,albion,0.28583533572665387, Below 1%,Oklahoma
Albion Central School District,NA,36334,2020,School District,29813706,0,1707811,0,0,0,2110390,2035497,25736404,0,259101,117659,2312571,0,35248232,1817251,35861211,0,0,0,37678462,FALSE,albion central,0.7912665331191067, Below 1%,New York
Albuquerque Municipal School District No. 12,NA,35931,2020,School District,2397848787,598135834,105373655,0,0,7667573,1284568723,0,363064860,0,4774958,57083033,153411824,22974214,897998862,558924478,572543455,98231556,1155266,0,1131467933,FALSE,albuquerque,2.1192370698852145,1 - 5%,New Mexico
Alburnett Community School District,NA,162806,2020,School District,8978277,3485000,1451177,0,0,0,3218703,0,823397,0,0,2018604,755522,0,6286069,24408,9035787,0,0,0,9060195,FALSE,alburnett community,0.9909584727481031, Below 1%,Iowa
Alcoa City Schools,NA,106529,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270946,86733,1184213,0,0,0,1270946,FALSE,alcoa city schools,0, Below 1%,Tennessee
Alcona Community Schools,NA,158543,2020,School District,18015685,0,950670,0,0,0,13553080,0,2921531,0,306796,218406,3234790,187599,6157635,-477097,10275527,0,0,0,9798430,FALSE,alcona community schools,1.8386297600738077,1 - 5%,Michigan
Alcorn School District,NA,42845,2020,School District,59539911,2160000,1885674,782806,0,3708480,47518558,0,3047671,0,436722,1190346,5100299,0,25050350,-1284653,32625648,0,0,0,31340995,FALSE,alcorn,1.899745397362145,1 - 5%,Mississippi
Alden Central School District,NA,36169,2020,School District,19575615,6852278,3381313,0,0,0,3127468,1912602,1217472,0,3383334,345148,2325672,406392,31496973,-129355,34703540,0,0,0,34574185,FALSE,alden central,0.5661916542645907, Below 1%,New York
Alden Community School District,NA,162839,2020,School District,1518448,0,292916,0,0,0,1185669,0,39863,0,0,270371,679111,39881,2926161,-376396,4291920,0,0,0,3915524,FALSE,alden community,0.38780199023170336, Below 1%,Iowa
