"","FIPS","state","name","population","total_liabilities","revenue","lib_rev_ratio","percapita","state_abv"
"91","0500000US05105","Arkansas","Perry County",10019,822445,6250148,13.1588083994171,82.0885317895998,"AR"
"92","0500000US05077","Arkansas","Lee County",8600,543369,4939975,10.9994281347578,63.1824418604651,"AR"
"93","0500000US05097","Arkansas","Montgomery County",8484,633746,10109694,6.26869616429538,74.6989627534182,"AR"
"94","0500000US05117","Arkansas","Prairie County",8282,242011,6290742,3.84709784632719,29.2213233518474,"AR"
"95","0500000US05025","Arkansas","Cleveland County",7550,204546,6580379,3.10842278233518,27.0921854304636,"AR"
"96","0500000US05013","Arkansas","Calhoun County",4739,306419,6810362,4.49930561694077,64.658999788985,"AR"
"97","0500000US06037","California","Los Angeles County",10014009,52768946000,29454082000,179.156647964788,5269.51253988288,"CA"
"98","0500000US06073","California","San Diego County",3298634,6570540000,5306058000,123.830911761613,1991.89725201402,"CA"
"99","0500000US06059","California","Orange County",3186989,7044193000,4801992000,146.693143178914,2210.29724294624,"CA"
"100","0500000US06065","California","Riverside County",2418185,8461146000,5091044000,166.196677930892,3498.9655464739,"CA"
