state,acfrs_original_name,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name
NY,South Orangetown Central School District,36362,2020,School District,280922041,13484139,7747709,0,0,0,3974746,6049128,253648122,0,1635041,466838,2328708,0,96892011,-11574718,111262275,0,0,0,99687557,south orangetown central
OH,Greater Summit County Early Learning Center Elementary School,83225,2020,School District,4620,0,100,0,0,0,4520,0,0,339,0,0,1073360,124903,20485,105922,1112826,0,0,0,1218748,greater summit county early learning center elementary school
OH,Constellation Schools Puritas Community Elementary School District,82901,2020,School District,4490202,0,139994,0,227000,1592905,2305657,0,224646,133620,0,0,0,318392,2333309,-96455,2748156,0,0,0,2651701,constellation schools puritas community
OH,Fairport Harbor Exempted Village School District,83084,2020,School District,0,0,0,0,0,0,7661799,0,413658,501768,0,1907360,444676,0,5759089,-29305,8140430,0,0,0,8111125,fairport harbor
OK,Grant County Educational Facilities Authority,149585,2020,School District,0,4785000,0,0,0,0,0,0,0,0,0,0,0,0,2096,0,2096,0,0,0,2096,grant county educational facilities authority
OK,Frontier School District I-4,37446,2020,School District,3583739,2330000,1253740,0,0,0,0,0,0,0,0,0,0,0,8406735,-1310145,9716879,0,0,0,8406735,frontier i 4
OH,North Olmsted City School District,37059,2020,School District,169662310,78557897,9336212,0,0,0,68521936,0,6736473,3963144,6509792,1489673,3065415,0,55265382,-7858514,67678984,0,0,0,59820470,north olmsted
OH,Istem Geauga Early College High School,83403,2020,School District,106754,0,106754,0,0,0,0,0,0,0,0,0,0,120037,1412193,-261586,1793816,0,0,0,1532230,istem geauga early college high school
MO,Joplin Schools,35242,2020,School District,125644804,124220000,0,0,0,0,0,0,0,0,0,3899802,15252873,717282,71095687,-4529872,95495516,0,0,0,90965644,joplin schools
OK,Deer Creek Public Schools-ISD No.6,148660,2020,School District,39151865,32485000,6666865,0,0,0,0,0,0,0,0,0,0,0,78707718,579654,78128064,0,0,0,78707718,deer creek isd 6
TX,River Road Independent School District,39145,2020,School District,24013504,13306049,1782166,0,0,0,4085213,0,4803731,0,36345,481755,2992768,0,14981166,-752860,19208549,0,0,0,18455689,river road
OH,Yellow Springs Exempted Village School District,84822,2020,School District,15652683,2177251,1325918,0,0,76000,10419400,0,1032996,601427,621118,1541738,673058,0,8154836,-1137654,11507286,0,0,0,10369632,yellow springs
IL,Burr Ridge Community Consolidated School District 180,51824,2020,School District,9909,0,9909,0,0,0,901155,0,5855286,0,0,61187,7262993,0,10802455,391754,17734881,0,0,0,18126635,burr ridge 180
KY,Russellville Independent School District,33699,2020,School District,16085955,7662670,788764,43547,0,0,4204917,0,3104405,0,281652,27970,3804884,711213,11011017,-398211,15953295,0,0,0,15555084,russellville
IL,Lee County Special Education Association,33055,2020,School District,63896345,42333087,5701264,0,0,0,2073287,0,13680455,0,108252,893534,14281585,50000,27711870,1069924,41867065,0,0,0,42936989,lee county special education association
KS,Unified School District No. 470,93933,2020,School District,0,33575000,0,211737,0,0,23037292,0,0,0,147174,0,0,0,51885861,-261085,52146946,0,0,0,51885861,470
NM,Lordsburg Municipal School District No.1,35938,2020,School District,19281050,6955000,993295,0,0,0,8772243,0,2478482,0,41734,43690,2012551,195135,6742497,3831591,5162282,0,0,0,8993873,lordsburg municipal 1
NY,Boces First Supervisory District of Erie County,40354,2020,School District,92237480,0,30630709,0,0,0,27276532,4347338,4139545,0,12879000,164904243,9767768,415000,204614,-10248642,185540267,0,0,0,175291625,boces first supervisory district of erie county
NY,Highland Falls-Fort Montgomery Central School District,36324,2020,School District,71495937,615000,3444257,0,0,17615000,1943506,1558302,46943576,0,934598,7193467,1164950,0,25647176,-1236031,35241624,0,0,0,34005593,highland falls fort montgomery central
GA,North Georgia Regional Educational Service Agency,105337,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4307636,152836,4154800,0,0,0,4307636,north georgia regional educational service agency
NC,Rockingham County Board of Education,36645,2020,School District,164540745,0,5411744,0,0,0,41242865,0,110197980,150468,6941648,2572127,100402711,449242,19246368,908799,121761649,0,0,0,122670448,rockingham county
NY,Gouverneur Central School District,36367,2020,School District,128470299,25905000,4961498,0,0,0,2860181,1543132,94644650,0,98970,259688,2921196,0,35627953,-444441,39253278,0,0,0,38808837,gouverneur central
OH,Constellation Schools Puritas Community Middle,82902,2020,School District,1720176,0,82262,0,176000,23478,1336484,0,101952,81907,0,0,0,557870,1527785,288981,1796674,0,0,0,2085655,constellation schools puritas community middle
OK,Moore Norman Technology Center District 17,84944,2020,School District,67584110,40064194,2268997,0,0,0,24628276,0,0,238404,622643,2307282,1386485,0,48122683,14759008,37057442,0,0,0,51816450,moore norman technology center district 17
OR,Jackson County School District No.6,85931,2020,School District,0,81999023,0,0,3506065,0,55351719,0,5907503,472261,0,1134250,7466229,3205281,145829089,88718968,68915881,0,0,0,157634849,jackson 6
NY,Altmar-Parish-Williamstown Central School District,36337,2020,School District,59820440,11595000,1784306,0,0,0,2856260,1424910,44624805,0,744375,88516,2243921,331440,32565754,-1380960,36610591,0,0,0,35229631,altmar parish williamstown central
PA,Northeastern Educational Intermediate Unit,38023,2020,School District,46310667,0,10251632,0,0,0,31578000,0,3956427,0,478268,8989387,24831624,0,541264,3344463,31017812,0,0,0,34362275,northeastern educational intermediate unit
SC,Spartanburg County School District Three,38367,2020,School District,96936100,12420000,5728166,0,0,3979000,41023797,0,33177813,0,418324,1810799,16733345,0,23404967,2962116,38986995,0,0,0,41949111,spartanburg three
SC,Rock Hill School District Three,38375,2020,School District,606892536,182034988,25933626,0,0,2067000,216156323,0,179885807,0,814792,3352970,102928500,0,117353048,-6241287,229875805,0,0,0,223634518,rock hill three
IL,Ogle County Educational Cooperative,43637,2020,School District,492761,0,492761,0,0,0,412974,0,0,0,0,0,0,0,11136609,98313,11038296,0,0,0,11136609,ogle county educational cooperative
TN,Lake County Schools,107079,2020,School District,372,0,372,0,0,0,0,0,0,0,0,0,0,0,536394,-32824,569218,0,0,0,536394,lake county schools
PA,Wilkinsburg Borough School District,37849,2020,School District,50786896,21595000,4015816,0,0,0,23017000,0,2069750,0,89330,174255,7094913,0,24518867,2383685,29404350,0,0,0,31788035,wilkinsburg borough
OH,Clyde-Green Springs Exempted Village School District,37237,2020,School District,52271287,2017469,2658612,0,0,0,25700059,0,2448067,0,1392080,2737182,3649111,0,23261628,-1396668,31044589,0,0,0,29647921,clyde green springs
VT,Windham Northeast Supervisory Union,39387,2020,School District,3759842,0,1912752,0,0,0,1847090,0,0,0,0,170447,10199078,0,6403699,-79398,16852622,0,0,0,16773224,windham northeast supervisory union
WA,Sumner-Bonney Lake School District No 320,39669,2020,School District,268734467,225950000,0,0,0,0,41006296,0,0,0,1778171,0,0,0,180304883,14704422,165600461,0,0,0,180304883,sumner bonney lake no 320
WA,La Connor School District No. 311,94034,2020,School District,21567621,17607500,0,0,0,0,3654428,0,0,0,305693,0,0,0,30197535,530670,29666865,0,0,0,30197535,la connor 311
WI,Hortonville Area School District,40032,2020,School District,28772592,23673030,3741312,0,0,0,123073,0,1076668,0,158509,3615288,3562254,0,45029348,4542934,47663956,0,0,0,52206890,hortonville area
WI,School District of Fort Atkinson,39988,2020,School District,18753578,4819205,4049666,0,0,0,0,4116255,9493499,0,391208,1936302,5059246,0,36590537,519641,43066444,0,0,0,43586085,of fort atkinson
TX,Round Top-Carmine Independent School District,163918,2020,School District,4003605,1566965,130971,0,0,0,864197,0,1424289,0,17183,60205,450372,0,4516221,452817,4573981,0,0,0,5026798,round top carmine
WI,Wittenberg-Birnamwood School District,40070,2020,School District,17381329,13592723,2271962,29323,0,0,31476,1433268,1248248,0,207597,1393262,1785064,0,13463182,896813,15744695,0,0,0,16641508,wittenberg birnamwood
MN,Park Rapids Area Schools Independent School District 309,159809,2020,School District,34864158,19244561,2395202,189191,0,0,11209231,0,1108722,0,717251,1102378,6296323,191358,18007527,1449326,24148260,0,0,0,25597586,park rapids area schools 309
OH,South Central Ohio Job Family Services,159974,2020,School District,19454144,0,3261664,0,0,0,9285718,38777,6118843,0,787919,650390,21723665,0,2545539,-998270,25917864,0,0,0,24919594,south central ohio job family services
IL,Rantoul City Schools District No. 137,32886,2020,School District,19649601,17965000,1684631,0,0,0,1023674,0,0,0,0,0,0,0,33225693,-356128,33581821,0,0,0,33225693,rantoul city schools district 137
VT,Mount Mansfield Modified Union School District,88877,2020,School District,16481450,7727358,3843927,0,0,0,3468720,0,0,0,259445,954966,22371029,0,40026475,-246481,63598951,0,0,0,63352470,mount mansfield modified
FL,Desoto County District School Board,32381,2020,School District,36327873,2954989,1434227,0,0,0,27357145,0,2743633,0,1837880,149871,2494154,180155,50732872,-2525790,56082842,0,0,0,53557052,desoto county
FL,Jefferson County District School Board,93784,2020,School District,2037740,0,169417,0,0,0,1861305,0,0,0,7018,0,0,176020,8972518,-180245,9328783,0,0,0,9148538,jefferson county
FL,The Florida School for the Deaf and the Blind,157127,2020,School District,88736752,0,2602962,0,0,0,27290342,0,55798040,0,3045408,154881,235617,2885647,53677669,-3285611,60239425,0,0,0,56953814,the florida school for the deaf and the blind
NE,Garden County School District No. 1,109145,2020,School District,0,0,0,0,0,0,1446555,0,0,0,32296,22926,873929,0,3854675,-139883,4891413,0,0,0,4751530,garden 1
KS,Unified School District 333,33493,2020,School District,0,4850000,0,880369,0,0,12241511,0,158644,0,36253,0,0,0,24105077,346037,23759040,0,0,0,24105077,333
FL,The School District of Lee County,32402,2020,School District,1278007845,923563,115331940,0,0,8611535,486925058,0,50552528,0,69471993,12196407,42640661,20922985,1074997367,48217076,1102540344,0,0,0,1150757420,the of lee county
ME,Regional School Unit No. 54,41802,2020,School District,26447153,0,4138312,0,0,10591888,2616239,0,7731657,0,489039,347866,9310507,0,35289322,2532333,42415362,0,0,0,44947695,regional school unit 54
IL,"South Suburban College, Community School District No. 510",32973,2020,School District,54071493,24818708,4800203,0,0,0,0,0,21287792,0,1006332,0,0,0,56765705,-1610940,58376645,4203556,106338077,0,110541633,"south suburban college, 510"
GA,Rome City Schools,32566,2020,School District,136648013,23786420,10996793,0,0,0,59837295,0,41918458,0,109047,593064,51492943,2823845,29935363,-13243549,98088764,0,0,0,84845215,rome city schools
CA,Miller Creek School District,223834,2020,School District,66392045,32972242,5778582,0,0,0,26333898,0,1215144,0,92179,5440,4798853,0,28155172,3437269,29522196,117155,1887,0,32959465,miller creek
MO,Ste. Genevieve County R-II School District,81530,2020,School District,284621,12100000,284621,0,0,0,0,0,0,0,0,948312,2932195,0,24086388,-5812004,33778899,0,0,0,27966895,ste genevieve county r ii
OR,Harney County Educational Service District Region XVIII,164421,2020,School District,2495187,0,203266,0,0,0,2291921,0,0,0,0,297738,1652338,0,1725051,-358191,4033318,0,0,0,3675127,harney county region xviii
AR,Buffalo Island Central School District No. 40,188465,2020,School District,30706,10945000,30706,0,0,0,5606531,0,0,0,0,0,0,0,10414467,152201,10262266,0,0,0,10414467,buffalo island central 40
PA,Lehigh Career and Technical Institute,46359,2020,School District,99279066,42111317,4883800,0,0,0,45052000,0,5222619,0,743878,20415698,5305153,1739706,4442950,-894307,32797814,0,0,0,31903507,lehigh career and technical institute
AR,Southside School District No. 3,188489,2020,School District,58787,11265000,58787,500725,0,0,0,0,0,0,0,0,0,0,22232147,769524,21462623,0,0,0,22232147,southside 3
MI,Bay-Arenac ISD,34351,2020,School District,87861040,1623006,7598378,4000,0,0,64370293,0,13970192,0,299171,4310600,14841045,0,24296653,-742299,44190597,0,0,0,43448298,bay arenac isd
AR,West Side School District No. 40,188497,2020,School District,74626,3915000,74626,0,0,0,4884684,0,0,0,0,0,0,0,7272145,463329,6808816,0,0,0,7272145,west side 40
CA,South Bay Union Elementary School District (Humboldt County),93742,2020,School District,11702805,4787600,338744,24787,0,0,5289064,0,1257553,0,5057,14186,1552102,0,5593228,-863757,8023273,0,0,0,7159516,south bay (humboldt county)
NJ,Burlington County Institute of Technology,35613,2020,School District,14549294,0,2353316,0,0,0,10281796,0,0,0,1914182,1464943,8361624,0,38343560,-956442,49126569,0,0,0,48170127,burlington county institute of technology
CA,Hospitality Industry Training and Education Fund,188694,2020,School District,3448387,0,3190122,0,258265,0,0,0,0,0,0,0,0,0,35588780,4603302,30985478,0,0,0,35588780,hospitality industry training and education fund
MO,Greenville R-II School District,35347,2020,School District,0,2225000,0,1791418,0,0,0,0,0,0,0,195609,1589638,36835,6083326,-54847,7960255,0,0,0,7905408,greenville r ii
NE,Hartington-Newcastle Public Schools District No. 8,108650,2020,School District,0,0,0,0,0,0,0,0,0,0,0,100577,1039837,0,6488769,-760499,8389682,0,0,0,7629183,hartington newcastle 8
MI,Athens Area Schools,158573,2020,School District,12367528,130000,848306,0,0,0,9241920,0,2026595,0,120124,129694,1716036,0,5047628,296951,6596407,0,0,0,6893358,athens area schools
NJ,Middlesex County Vocational and Technical High Schools,35626,2020,School District,30398354,0,2266535,14394564,0,0,12663123,0,0,0,1074132,170568,2637202,0,51182246,1398003,52592013,170568,362750,0,53990016,middlesex county vocational and technical high schools
NJ,Essex County Vocational Schools,40213,2020,School District,14055316,0,2952165,0,0,0,9706568,0,0,0,0,278709,12479906,0,44868848,2048989,55578474,27870937,95277812,0,123148749,essex county vocational schools
CO,Telluride School District,223951,2020,School District,50777150,20827338,2169937,0,0,0,23900875,0,868236,0,424464,603566,2250366,33987,15874222,5029410,13732731,0,0,0,18762141,telluride
NM,Clovis Municipal Schools,46586,2020,School District,193344985,47375000,4150334,0,0,0,110276272,0,31147359,0,396020,1471117,16044597,736723,72841743,46088866,45005314,0,0,0,91094180,clovis municipal schools
NY,Hfm Counties Boces,36199,2020,School District,108562099,0,13388058,0,0,0,5560776,1623662,88382730,0,1230535,51812719,1470481,0,2197338,-3979684,59460222,0,0,0,55480538,hfm counties boces
NY,Orleans-Niagara Boces,36336,2020,School District,51808960,0,213311322,0,0,0,5924724,3249618,23448410,0,1104504,72736269,4001849,0,82419,-5676129,82496666,0,0,0,76820537,orleans niagara boces
NM,Ruidoso Municipal Schools,35940,2020,School District,72086984,37674011,1015299,0,0,0,25959081,0,7337526,0,101067,165377,4484357,128388,31059153,11402600,24434675,0,0,0,35837275,ruidoso municipal schools
CO,Bayfield School District,189021,2020,School District,69461348,42781975,2362578,0,0,0,22828179,0,1122302,0,366314,156419,1285550,0,19176898,4786207,15832660,0,0,0,20618867,bayfield
OR,Seaside School District,85325,2020,School District,130605943,111353103,1533130,0,175805,0,15254028,0,2044595,0,245282,72307,5755711,0,26389970,2817457,29400531,0,0,0,32217988,seaside
CO,Eagle County Schools District,189027,2020,School District,383160539,244874786,15020422,0,0,0,116155937,0,5710702,0,1398692,3875051,10860812,265723,97982895,18067922,94916559,0,0,0,112984481,eagle county schools district
CO,Counties of Adams and Weld School District 27j,189041,2020,School District,630297514,374842094,24607129,0,0,0,212553909,0,10447896,0,3427027,8137719,19003996,0,201558045,48417269,180282491,951413,0,0,228699760,counties of adams and weld 27j
GA,Central Savannah River Area Regional Commission,224014,2020,School District,2463130,0,2040480,0,0,0,0,0,0,0,422650,1274983,8997696,0,546871,184638,10634912,0,0,0,10819550,central savannah river area regional commission
NM,Truth or Consequences Municipal Schools,35955,2020,School District,39924290,11008972,797709,0,0,0,21720338,0,6049325,0,347946,362930,4559630,33212,14140718,8582117,10514373,0,0,0,19096490,truth or consequences municipal schools
MI,Barry Intermediate School District,161432,2020,School District,16117635,0,2191800,0,0,0,11398820,0,2527015,0,0,545093,3134119,0,3840256,-589068,8108536,0,0,0,7519468,barry intermediate
MI,Berrien Regional Education Service Agency,161444,2020,School District,83686979,0,7822339,0,0,0,61751982,0,13525352,0,187306,1967947,29408749,0,21863457,-2332945,55573098,0,0,0,53240153,berrien regional education service agency
GA,School District Griffin Resa,189214,2020,School District,0,0,0,29716,0,0,0,0,0,0,0,0,0,0,4729180,274934,4454246,0,0,0,4729180,griffin resa
MI,Arenac Eastern School District,161439,2020,School District,0,0,0,0,0,0,104344,0,38023,0,0,0,171114,0,1203337,77892,1296559,0,0,0,1374451,arenac eastern
MI,Branch Intermediate School District,161452,2020,School District,53426231,1019949,3417913,0,0,0,39877095,0,8751992,0,359282,1327665,8305312,0,15818454,-786020,26237451,0,0,0,25451431,branch intermediate
GA,School District First District Resa,189208,2020,School District,0,0,0,38417,0,0,0,0,0,0,0,0,0,0,8742716,306786,8435930,0,0,0,8742716,first district resa
MI,Bay-Arenac Community High School,161443,2020,School District,3054344,0,137442,35503,0,0,2362647,0,518754,0,0,50315,410090,0,1368342,38277,1790470,0,0,0,1828747,bay arenac community high school
GA,School District Heart of Georgia Resa,189218,2020,School District,0,0,0,46502,0,0,0,0,0,0,0,0,0,0,5656792,227422,5429370,0,0,0,5656792,heart of georgia resa
GA,School District Central Savannah River Resa,189191,2020,School District,0,0,0,13668,0,0,0,0,0,0,0,0,0,0,4027399,-768,4028167,0,0,0,4027399,central savannah river resa
MI,Lakeshore School District Berrien,161454,2020,School District,99116633,30868139,4023477,0,307828,0,52111427,0,11372589,0,433173,592865,3711972,0,28820381,-3225226,36350444,0,0,0,33125218,lakeshore berrien
GA,School District Coastal Plains Resa,189196,2020,School District,0,0,0,35939,0,0,0,0,0,0,0,0,0,0,5668357,-14667,5683024,0,0,0,5668357,coastal plains resa
GA,School District Chattahoochee-Flint Resa,189193,2020,School District,0,0,0,1780,0,0,0,0,0,0,0,0,0,0,4144040,50580,4093460,0,0,0,4144040,chattahoochee flint resa
MI,Riverside School - Hagar Township #6,161447,2020,School District,1631755,0,58144,0,0,0,1289151,0,284460,0,0,0,123518,0,667938,17745,773711,0,0,0,791456,riverside school hagar township 6
GA,School District Metro Resa,189227,2020,School District,0,0,0,116687,0,0,0,0,0,0,0,0,0,0,12901345,357968,12543377,0,0,0,12901345,metro resa
GA,City of Commerce Board of Education,189198,2020,School District,45464087,10577458,2793601,5484166,0,0,15238106,0,11370756,0,0,372018,12776798,77220,8843393,582308,21487121,0,0,0,22069429,city of commerce
GA,City of Chickamauga Board of Education,189195,2020,School District,20298256,0,1435474,607960,0,0,10928964,0,7325858,0,0,1024958,8481051,22748,4267994,-540719,14337470,0,0,0,13796751,city of chickamauga
GA,School District Middle Georgia Resa,189228,2020,School District,0,0,0,35222,0,0,0,0,0,0,0,0,0,0,3377387,-180631,3558018,0,0,0,3377387,middle georgia resa
GA,School District Oconee Resa,189237,2020,School District,0,0,0,18381,0,0,0,0,0,0,0,0,0,0,3473672,146050,3327622,0,0,0,3473672,oconee resa
GA,School District Pioneer Resa,189242,2020,School District,0,0,0,149439,0,0,0,0,0,0,0,0,0,0,14312127,734961,13577166,0,0,0,14312127,pioneer resa
GA,School District Southwest Georgia Resa,189250,2020,School District,0,0,0,28667,0,0,0,0,0,0,0,0,0,0,3065773,-7507,3073280,0,0,0,3065773,southwest georgia resa
MI,River School - Sodus Township #5,161465,2020,School District,1663629,0,67337,0,0,0,1296235,0,279947,0,20110,600,184829,0,632713,29684,788458,0,0,0,818142,river school sodus township 5
GA,School District North Georgia Resa,189235,2020,School District,0,0,0,2473,0,0,0,0,0,0,0,0,0,0,4307637,152837,4154800,0,0,0,4307637,north georgia resa
GA,School District West Georgia Resa,189263,2020,School District,0,0,0,36000,0,0,0,0,0,0,0,0,0,0,8840506,327128,8513378,0,0,0,8840506,west georgia resa
