state,county,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,student
CA,Los Angeles County,2020,General Purpose,52768946000,2737062000,5617736000,148918000,0,384066000,11560668000,0,25921499000,0,2072486000,8065147000,12174881000,60658000,9153396000,1055567000,28398515000,1281573000,1285000,19356000,29454082000,1025446
TX,Harris County,2020,General Purpose,8947139580,4440922478,660408855,0,33287159,554942000,470596852,134778,2733774269,0,48806862,1153495162,278082673,401554423,2304193903,537805272,3599520889,0,0,0,4137326161,790935
CA,Orange County,2020,General Purpose,7044193000,620161000,890891000,31702000,387644000,34661000,4125372000,0,328412000,0,184050000,920286000,2505653000,141118000,1234935000,317280000,4484712000,120977000,25629000,0,4801992000,612604
FL,Orange County,2020,General Purpose,3034626323,1100980207,272763331,2068986,95610751,4275000,1287393180,0,42748723,171947,96177525,558927874,432065880,242654932,1496611587,185147739,2545112534,0,0,0,2730260273,612604
NC,Orange County,2020,General Purpose,521956039,141452563,20987117,0,813074,183306576,25520248,0,137190344,0,5550246,29177473,28718495,1256036,206861903,-53735079,319748986,0,0,0,266013907,612604
AZ,Maricopa County,2020,General Purpose,2834203888,0,553067960,20783850,31410428,0,1876917812,0,3209316,16637315,0,294561793,392453978,41902995,1770899097,273182882,2226634981,0,0,0,2499817863,480523
IA,Dallas County,2020,General Purpose,41463401,0,5221357,0,0,25455000,7475146,0,1688633,0,1530254,5300519,7241181,628208,35136561,7508695,40797774,0,0,0,48306469,454047
TX,Dallas County,2020,General Purpose,942867000,148618000,285802000,78424000,0,0,156475000,0,228011000,0,40641000,158892000,271858000,0,631682000,43764000,1018668000,0,0,0,1062432000,454047
IL,Cook County,2020,General Purpose,21176754633,2823221430,708751691,0,570036750,7521000,13580982590,0,1900989370,0,122331764,3118370000,738219342,138850239,2065761372,405671632,5655529321,2862471563,257597178,44788567,6061200953,409324
WA,Clark County,2020,General Purpose,217443583,64728814,41922062,4296328,13541052,0,34594809,9542131,25493325,0,15874101,107729232,110457476,33381791,209908352,125012081,336464770,7482984,558520,5903328,461476851,400876
NV,Clark County,2020,General Purpose,11263235204,5995657382,925452056,2385548,0,5400000,2971365931,0,683532382,0,303849498,1939388464,495664818,324744954,2386433924,375693990,4770538170,0,0,0,5146232160,400876
CA,Riverside County,2020,General Purpose,8461146000,2205402000,1486004000,371389000,0,84342000,3517404000,0,60350000,143000,279952000,1663165000,2291206000,32808000,1103865000,-854891000,5945935000,631853000,553000,355000,5091044000,387664
TN,Montgomery County,2020,General Purpose,351787448,285204759,6581156,13668505,7857894,7500000,0,4503133,21607460,0,4011096,78389329,9034081,6104352,143889802,30364629,207052935,0,0,0,237417564,359460
VA,Montgomery County,2020,General Purpose,218721352,172159920,24144928,0,500000,0,13083603,0,4227912,0,3488758,2944149,14789956,0,121110826,15299922,123545009,0,0,0,138844931,359460
OH,Montgomery County,2020,General Purpose,707900209,9722733,54779689,56667975,2715165,0,275674018,3069266,192563183,0,29766231,236852454,251124322,20289089,310255033,46064773,772456125,15826786,872431,0,818520898,359460
MD,Montgomery County,2020,General Purpose,6415638072,3588542269,808532471,2820000,0,604379284,106518934,0,825636740,0,92651456,739082234,259057362,71022023,4013545791,241377004,4841330406,0,0,0,5082707410,359460
TX,Montgomery County,2020,General Purpose,1112577123,648766931,150264813,10674041,0,0,24066035,0,253594793,0,15389794,143370975,81513686,65784276,265488545,12055257,544102225,0,0,0,556157482,359460
FL,Miami-Dade County,2020,General Purpose,27654208000,17236196000,1937708000,431062000,599543000,391345000,4414212000,0,692290000,0,823163000,4294642000,1324932000,445910000,3388422000,-605491000,10059397000,0,0,0,9453906000,347307
CA,San Diego County,2020,General Purpose,6570540000,1018893000,945099000,39300000,3201000,0,3790434000,0,106033000,0,128010000,646844000,3066604000,29828000,1562782000,129064000,5176994000,0,0,0,5306058000,343619
TX,Tarrant County,2020,General Purpose,908700000,250717000,186900000,71000,0,0,227323000,0,184230000,0,50367000,145642000,188415000,711000,481689000,99076000,717381000,3249000,28000,0,816457000,312005
CA,San Bernardino County,2020,General Purpose,4697075000,418164000,855666000,2646000,0,29126000,2236518000,0,8506000,0,244389000,1036006000,2633539000,25018000,1317168000,383389000,4628342000,0,0,0,5011731000,307409
CO,Jefferson County,2020,General Purpose,131834800,19169482,31926606,3236541,1839231,0,0,0,0,0,24568367,50010865,169323635,2488613,298411949,66208342,454026720,0,0,0,520235062,287060
AL,Jefferson County,2020,General Purpose,2965742000,0,191938000,8537000,0,2518608000,0,142088000,119964000,0,22339000,260979000,96682000,21483000,410070000,-14643000,803857000,0,0,0,789214000,287060
TX,Jefferson County,2020,General Purpose,382571796,38472633,13439960,0,0,0,52224482,0,262909828,0,12000201,29135440,19897011,1643237,124392527,-4055864,179124079,0,0,0,175068215,287060
TX,Bexar County,2020,General Purpose,3027051150,1673669329,121104482,0,0,0,117083764,0,216578397,0,50666275,89067688,102280291,94758101,583862696,-4727944,874696720,0,0,0,869968776,282244
FL,Broward County,2020,General Purpose,7728588000,4337017000,587100000,5348000,346895000,0,1835950000,0,315136000,0,140153000,1227079000,464132000,157655000,1811426000,619609000,3040683000,0,0,0,3660292000,269172
FL,Hillsborough County,2020,General Purpose,3229923000,1094461000,478744000,0,0,128963000,1266841000,0,116670000,0,60996000,661108000,180756000,107509000,1594531000,219427000,2324477000,283150000,20691000,47093000,2543904000,247642
TX,El Paso County,2020,General Purpose,422205749,165054091,51725969,0,4041146,0,108703516,0,48906739,0,36103511,57505746,39098782,699560,285012985,-1000356,383317429,0,0,0,382317073,242554
CO,El Paso County,2020,General Purpose,802181693,0,36876174,2986553,0,0,485244387,0,138991599,0,18442054,42054543,222571602,62341385,216814711,14710704,529071537,0,0,0,543782241,242554
CA,Sacramento County,2020,General Purpose,67797303,0,7840107,0,0,0,56085569,0,1320422,0,2551205,0,109425803,0,43278,-6424568,115893649,0,0,0,109469081,205341
IN,Marion County,2020,General Purpose,873586220,0,23965076,705790781,0,1973352,114023647,0,15112759,0,9518978,58636318,47732009,0,242586009,2852747,346101589,0,0,0,348954336,205217
OR,Marion County,2020,General Purpose,256802975,0,16820757,0,0,349654,142395975,0,21345426,0,5452942,73397298,84731068,10726228,86821495,-6206510,261882599,0,0,0,255676089,205217
FL,Marion County,2020,General Purpose,551034261,88445232,49187160,0,0,19346501,317040864,0,20909282,0,22261063,142771183,46730120,32948891,268451792,59263938,431638048,0,0,0,490901986,205217
TX,Fort Bend County,2020,General Purpose,1449434641,620942114,155833372,439067,0,2259978,47941506,0,597396893,0,16744995,57318426,96213885,258608324,347722213,155803954,604058894,0,0,0,759862848,196335
TX,Collin County,2020,General Purpose,665516189,537131000,116609392,0,0,0,0,32523900,0,0,9374000,52572536,119249345,6652043,273398852,71754044,380118732,0,0,0,451872776,195922
FL,Palm Beach County,2020,General Purpose,4197746860,863515389,398776095,223293,0,83415643,1867489307,0,447740399,0,210094621,686026585,251373232,55878784,1738472686,-37116294,2768867581,0,0,0,2731751287,194675
NE,Douglas County,2020,General Purpose,487154430,71179614,166713502,0,0,0,180046767,0,47804755,0,13580702,105448620,81550951,10337445,186144569,59093202,324388383,0,0,0,383481585,193613
CO,Douglas County,2020,General Purpose,75415483,5855000,60394586,0,0,0,0,0,0,0,9165897,61814471,83469719,25369065,264724793,31849455,403528593,0,0,0,435378048,193613
GA,Douglas County,2020,General Purpose,213077017,20887352,6902518,0,0,0,57415331,0,111884828,0,7231800,18358676,14758273,5043915,131145572,29304006,140002430,0,0,0,169306436,193613
VA,Fairfax County,2020,General Purpose,7213251402,3890750316,602285356,7525762,0,439073057,1838029525,0,136090113,0,153611412,917274574,346819376,43324953,4177009292,-48831469,5533259664,0,0,0,5484428195,188887
MD,Washington County,2020,General Purpose,374142656,188747069,34726598,384783,10165696,0,118758533,0,0,10931012,4148204,31316383,12531550,19062245,248282090,11908774,299283494,0,0,0,311192268,186542
MN,Washington County,2020,General Purpose,398150946,132138789,26196678,0,995401,0,74377089,0,152802376,0,11640613,32994235,99074060,6637810,172262377,56905371,254063111,0,0,0,310968482,186542
OR,Washington County,2020,General Purpose,741441000,70630000,192488000,0,141710000,5162000,278895000,0,6484000,2660000,12489000,111253000,205850000,16564000,270749000,-3555000,607971000,0,0,0,604416000,186542
UT,Washington County,2020,General Purpose,35868151,13715537,5847593,4190727,0,0,10307124,0,0,0,1807170,21803717,28838987,4432016,57841396,23366972,89549144,0,0,0,112916116,186542
UT,Salt Lake County,2020,General Purpose,958229946,504958525,163875936,4745498,0,70682811,75995899,0,95202533,0,28954974,226374240,304283063,2987822,799342870,104083513,1228904482,0,0,0,1332987995,181745
GA,Gwinnett County,2020,General Purpose,1455596,701609,201771,150123,0,31352,213317,0,39204,0,37518,512892,186765,131845,865861,371828,1325535,0,0,0,1697363,180589
NC,Wake County,2020,General Purpose,3533852433,2384388875,289701442,32305,0,275320595,115220710,1917781,415753783,0,16515621,115235949,130757498,0,1443608747,-22507974,1712110168,0,0,0,1689602194,163404
NC,Mecklenburg County,2020,General Purpose,2678783023,1500448673,237829916,3151120,207024045,0,137831581,1320744,514883109,0,36921453,171632573,160843787,866417,1536148056,5871750,1863619083,0,0,0,1869490833,149845
FL,Polk County,2020,General Purpose,1366570778,240683017,167107092,0,0,82482000,519641860,0,198094593,0,19968755,316787091,104462284,32880703,518042395,19269411,952903062,0,0,0,972172473,148748
IA,Polk County,2020,General Purpose,389072123,248620730,21765263,1056235,0,23131000,49746611,0,14647000,0,19007684,83970538,22171974,8304284,207649048,21382861,300712983,0,0,0,322095844,148748
GA,Fulton County,2020,General Purpose,3257955000,1019637000,98554000,50536000,0,0,333578000,0,1675472000,0,47787000,228532000,165492000,6001000,734472000,27481000,1107016000,0,0,0,1134497000,146313
TX,Williamson County,2020,General Purpose,1352794743,1139091150,92763816,0,0,0,55619549,0,59226881,0,6093347,53133045,64303593,49873724,339921021,117889430,389341953,0,0,0,507231383,145881
TN,Williamson County,2020,General Purpose,905617619,806434456,10341815,252214,0,0,0,244375,75435511,0,4376482,100597294,37733596,1794407,178312715,-26856614,345294626,0,0,0,318438012,145881
CA,Alameda County,2020,General Purpose,4327169000,1310807000,748101000,1466000,24201000,0,1785396000,0,173413000,0,84391000,654830000,1869783000,8170000,937270000,218092000,3251961000,0,0,0,3470053000,143609
CA,Fresno County,2020,General Purpose,2161228000,356601000,257422000,2805000,278550000,0,1054510000,0,0,0,53630000,122215000,961220000,0,673796000,69499000,1687732000,0,0,0,1757231000,143401
CA,Santa Clara County,2020,General Purpose,10454942000,2620844000,1698043000,0,0,0,4369993000,1030950000,1193745000,4066000,336638000,2903732000,2145002000,12885000,1990509000,188339000,6863789000,0,0,0,7052128000,138115
MD,Prince George's County,2020,General Purpose,7876190727,2603075752,553578380,98477445,0,310379185,1828515183,0,2063326398,0,87011437,367350367,141197692,10335801,1978333298,-235744323,2732961481,0,0,0,2497217158,135952
UT,Utah County,2020,General Purpose,328192274,227586021,59635967,0,0,0,24085947,0,8261379,0,6177350,80179196,0,0,252680367,261065091,71794472,0,0,0,332859563,134716
AL,Shelby County,2020,General Purpose,133812337,0,9252950,0,0,0,39089547,0,20078069,0,5543059,35780341,14426016,4219488,67320477,19632855,102113467,1307643781,62018344,0,1369662125,134189
TN,Shelby County,2020,General Purpose,1845498562,922216144,185322233,4329258,0,123200000,571656496,0,0,18933000,30558690,187907321,84996633,6099120,937532099,-93531331,1310066504,0,0,0,1216535173,134189
NC,Wayne County,2020,General Purpose,148376513,30920000,4017483,0,0,0,19237919,163353,38911884,0,2537896,23410024,29552849,125000,88486215,709114,140864974,5095510,505205,0,141574088,131467
MI,Wayne County,2020,General Purpose,1812948420,628294866,331168554,0,0,184930000,547323476,0,91675340,0,22332762,198890166,419509926,26214724,440122978,308655710,776082084,0,0,0,1084737794,131467
TN,Hamilton County,2020,General Purpose,407385343,290345000,33416393,0,0,0,4844203,2346915,22830434,0,17333863,50013185,30900412,815075,200780248,40666922,241841998,0,0,0,282508920,130898
OH,Hamilton County,2020,General Purpose,2670799000,1060334000,189713000,8150000,388663000,0,741809000,17322000,218552000,0,62610000,455413000,309024000,5029000,675543000,14989000,1430020000,0,0,0,1445009000,130898
IN,Hamilton County,2020,General Purpose,285013791,127247808,9355423,635726,0,0,27640222,293614,109754039,0,2759196,15919070,41083303,2169803,151525110,49857260,160840026,0,0,0,210697286,130898
TX,Travis County,2020,General Purpose,2724331272,1185905970,145211872,32779157,0,0,172394620,0,1125420726,0,42497620,107042374,57490490,26159427,799870344,52793904,937768731,0,0,0,990562635,129364
CA,Contra Costa County,2020,General Purpose,2611861000,126605000,556090000,258037000,0,1080000,677976000,0,523933000,236000,92573000,1894166000,1021424000,40990000,782125000,315039000,3423666000,0,0,0,3738705000,118854
NC,Davidson County,2020,General Purpose,195052179,98892906,13234259,0,32745000,0,14836007,236590,15496371,0,2390146,16298096,23225612,1199250,132921309,21762927,151881340,0,0,0,173644267,115480
GA,Cobb County,2020,General Purpose,1816539766,539334939,201495859,3757585,0,167017301,667140390,0,178505026,0,36493230,353971738,97906748,87009233,685250753,140615534,1083522938,0,0,0,1224138472,112097
CO,Arapahoe County,2020,General Purpose,435652646,129941621,52349020,11647046,0,2664894,208374554,0,0,0,18289696,69567963,209406835,4503917,226278746,8840352,500917109,11067596,6965508,0,509757461,111304
TX,Johnson County,2020,General Purpose,38479107,18925000,5297176,0,0,2415000,6418015,0,4027137,0,1396779,24914621,4334545,1203158,59448492,4870991,85029825,0,0,0,89900816,108387
IA,Johnson County,2020,General Purpose,37879408,0,7490257,0,0,9920000,15327952,0,1489267,0,3651932,12428587,13557995,4306630,66707723,16007777,80993158,0,0,0,97000935,108387
KS,Johnson County,2020,General Purpose,1383005817,967409999,84745526,1975644,14781417,0,251000703,0,23868678,0,23438999,265893122,164557904,6418693,391415902,84216440,744069181,0,0,0,828285621,108387
NC,Lee County,2020,General Purpose,130871824,51638857,2478158,0,39653636,326749,7441208,99288,27302597,0,2030619,4490416,8174691,861276,67680550,467464,80739469,0,0,0,81206933,105732
FL,Lee County,2020,General Purpose,2530890000,736809000,204592000,12492000,11000000,94026000,585079000,0,807852000,0,33546000,483973000,154535000,66230000,594285000,17236000,1281787000,0,0,0,1299023000,105732
GA,Forsyth County,2020,General Purpose,618135372,517821053,60225234,0,0,5750217,2131453,0,6417975,0,12785348,98867182,19485797,109529514,237016379,172918035,291980837,0,0,0,464898872,105110
NC,Forsyth County,2020,General Purpose,740725753,570102384,24480915,0,0,0,46149867,679188,66647741,0,8439750,35048354,51111206,408031,376297233,8876072,453988752,0,0,0,462864824,105110
CA,San Joaquin County,2020,General Purpose,2227446646,7897000,257288477,14824000,0,1276000,1584683469,0,129969434,0,42274000,581697872,770401571,27607558,379521542,75020848,1684207695,0,0,0,1759228543,104567
MN,Hennepin County,2020,General Purpose,3494379106,1857740095,473163198,0,0,2790460,839268166,0,145819803,0,154141727,1415149958,745244593,56341420,1149648018,-107539260,3473923249,1351533319,157249007,29870414,3366383989,102476
AZ,Pima County,2020,General Purpose,1970239000,722521000,171786000,0,0,2869000,776192000,0,4058000,4588000,40446000,263938000,175720000,48608000,700588000,108999000,1079855000,0,0,0,1188854000,100644
FL,Pinellas County,2020,General Purpose,1957358812,51969653,271625819,615497,0,76992808,710305897,0,697335520,0,70969447,563389178,189943524,37814016,767359074,116744750,1441761042,0,0,0,1558505792,99772
WA,Pierce County,2020,General Purpose,758885000,401002000,91501000,0,60660000,0,74544000,25299000,87223000,0,29046000,234451000,296159000,48544000,359613000,80367000,858400000,0,0,0,938767000,98571
TN,Madison County,2020,General Purpose,95147236,73696253,2751792,1135831,0,8276000,0,4968985,6471574,0,2815786,13862715,11841010,94000,58803008,15655863,68944870,0,0,0,84600733,93111
KY,Madison County,2020,General Purpose,0,12020000,0,307329,1842975,0,0,0,0,0,0,13165914,389840,0,19113360,-1864430,34533544,0,0,0,32669114,93111
VA,Prince William County,2020,General Purpose,1787836000,1113606000,253270000,68295000,21153000,0,200496000,817000,48523000,663000,43373000,77425000,110909000,75832000,1209750000,18544000,1455372000,0,0,0,1473916000,92237
CA,Kern County,2020,General Purpose,2747291000,232460000,227726000,21079000,13509000,0,1804165000,0,42679000,0,95105000,415233000,924522000,32732000,475754000,2865000,1845376000,0,0,0,1848241000,90958
SC,Richland County,2020,General Purpose,765382337,170077157,74362271,1254634,136370821,0,203728119,0,165057215,0,11170930,70252346,28128763,1146392,294805869,14035593,380297777,0,0,0,394333370,90179
NM,Bernalillo County,2020,General Purpose,802443844,253320992,87476753,0,0,0,325383442,0,96053173,0,40209486,28485850,42228681,9348178,412729190,46528057,446263842,0,0,0,492791899,88312
MD,Anne Arundel County,2020,General Purpose,4134565173,2474047271,229998820,20245,2362394,0,647187251,0,562453474,0,33872059,318411787,123052168,157135998,1605100751,45981586,2157719118,0,0,0,2203700704,84984
CA,Ventura County,2020,General Purpose,2147171000,28616000,476098000,328489000,11726000,180020000,677172000,0,131699000,1713000,95996000,844027000,657605000,29670000,632924000,66132000,2098094000,565376000,10342000,6687000,2164226000,83660
VA,Loudoun County,2020,General Purpose,2693348240,1219786141,564122213,643363204,0,0,133861541,0,60669020,47209,33094376,71163012,100736618,37125894,1752115254,50163541,1910977237,0,0,0,1961140778,83606
OK,Tulsa County,2020,General Purpose,248720189,103982424,16143588,1688807,0,585471,101018575,0,3994591,0,6144609,40562367,141319871,4684010,142961068,112962253,216565063,0,0,0,329527316,83453
TX,Cameron County,2020,General Purpose,255004610,164337897,35334401,3920877,0,6150896,11947765,0,30233502,0,2977940,65701598,25328329,1879776,92567120,-7338806,192815629,0,0,0,185476823,82303
NY,Suffolk County,2020,General Purpose,12322349989,1674099719,614044114,0,0,717506197,1104493609,0,6901030000,0,511243404,370958588,836537895,62736643,2319472582,10691055,3579014653,0,0,0,3589705708,82247
NJ,Essex County,2020,General Purpose,1244720579,624040000,0,14098,7964515,43980000,0,0,0,0,0,0,0,0,1008216197,37232544,970983653,0,0,0,1008216197,81361
SC,Greenville County,2020,General Purpose,613256501,70991684,109306463,12009757,0,87620915,232505430,0,38130664,0,10894598,78043454,32079298,19116600,184411929,-16451367,330102648,0,0,0,313651281,77302
OR,Jackson County,2020,General Purpose,160358239,43185788,15967541,0,0,1640295,88714447,347210,2291669,871434,5236875,38265382,74518383,5646839,58111631,-319749,176861984,0,0,0,176542235,77245
MO,Jackson County,2020,General Purpose,544917604,401917962,71189070,810791,0,0,46067941,0,5636802,0,8465885,50984346,117044306,15055237,196820068,22817836,357086121,0,0,0,379903957,77245
FL,Pasco County,2020,General Purpose,1294675425,428657336,113046133,0,0,14716000,516207619,0,71285733,0,30430929,375526426,160915454,23821401,432123718,190718018,801668981,0,0,0,992386999,76661
IL,Kane County,2020,General Purpose,195019766,60706016,65302961,0,0,0,20780530,0,10618922,0,6437653,29685421,57850946,11898283,193289365,42200803,250523212,0,0,0,292724015,74926
UT,Davis County,2020,General Purpose,127843790,61746764,16164370,69098,0,0,19023396,0,26093159,0,4747003,25970845,44983096,400184,158876390,49029357,181201158,3049300,10596,0,230230515,74773
WI,Milwaukee County,2020,General Purpose,2876921000,640761000,122753000,0,0,0,594769000,0,1415115000,0,41454000,284744000,402990000,12031000,471296000,126563000,1044498000,0,0,0,1171061000,74683
FL,Brevard County,2020,General Purpose,920994570,204664734,114651332,1880957,49105318,0,414905456,0,27264556,0,33194145,240122425,107508896,23519458,393530129,78652267,686028641,0,2320173,894278,764680908,73962
IL,Lake County,2020,General Purpose,412208585,219659176,89750647,0,0,0,47434620,0,18804476,0,21525954,84345708,188738215,29686815,259190518,61721624,500239632,0,0,0,561961256,72983
FL,Lake County,2020,General Purpose,438611170,112525801,36439075,0,0,527371,231057016,0,37048311,0,0,85486946,30656175,21516732,191492893,-3477499,332630245,0,0,0,329152746,72983
NC,Guilford County,2020,General Purpose,1222139137,710607639,107168872,0,0,0,57377689,813392,337432974,0,9551963,47968969,88160673,547307,515381488,33302508,618755929,0,0,0,652058437,72682
MO,Clay County,2020,General Purpose,90416155,991584,7818050,893741,0,0,25570939,0,1334583,0,3393420,20135162,33340983,1081695,51477231,-14392129,120427200,0,0,0,106035071,71623
FL,Clay County,2020,General Purpose,361979878,129711032,20414244,0,0,0,159309529,0,34981149,0,15866688,56415290,25648673,882808,149417462,15319975,217044258,0,0,0,232364233,71623
OR,Multnomah County,2020,General Purpose,1265422000,344351000,170272000,1329000,3125000,0,581413000,0,121091000,0,32855000,299879000,434998000,27782000,610417000,15237000,1357839000,1036000,29000,0,1373076000,71617
OH,Fairfield County,2020,General Purpose,157675829,10411942,10052586,175577,2734361,0,55851444,377203,37222409,100489,5180196,34186018,48844350,7015851,80660137,30257408,140448948,0,0,0,170706356,70874
NC,Union County,2020,General Purpose,726334795,544399685,24607155,0,0,0,35645683,459398,63275916,0,6574402,89652788,35630509,14549936,266746892,1151216,405428909,0,0,0,406580125,70728
FL,Osceola County,2020,General Purpose,1304908000,763838,51703000,35322000,0,19655,335287000,0,37792000,0,24369000,198859000,78445000,31529000,372701000,50037000,631497000,26837000,605000,0,681534000,69925
FL,Seminole County,2020,General Purpose,895984671,330869515,114482294,0,0,0,367319193,0,13246566,0,38704009,152191802,88106722,13347423,371142038,12058600,612729385,0,0,0,624787985,68096
SC,Lancaster County,2020,General Purpose,110172717,43158490,8174706,620000,0,0,51456686,0,4070482,0,1606138,17433516,5070517,3349607,71204211,18361177,78696674,0,0,0,97057851,67346
PA,Lancaster County,2020,General Purpose,369119890,167731121,37517998,14284206,900000,21036600,4582966,0,110146185,0,7133809,30708566,174492246,0,124205198,29964436,299441574,0,0,0,329406010,67346
NE,Lancaster County,2020,General Purpose,76791686,35806256,13572007,19727500,0,0,0,0,0,0,7685923,22049598,23148177,181433,110616479,12424982,143570705,0,0,0,155995687,67346
NV,Washoe County,2020,General Purpose,917385946,128400459,55285621,5058223,0,0,413343289,0,236411294,0,31419366,123215058,74736259,28845534,391214434,9624441,608386844,457449,2985104,0,618011285,67301
TX,Webb County,2020,General Purpose,143436259,76469706,27720782,6180710,0,3455000,19433202,0,248690,0,6211064,34862261,37424326,773013,117497726,13547785,177009541,0,0,0,190557326,66739
ID,Ada County,2020,General Purpose,147809654,2357736,19850848,5212256,0,0,77093670,0,0,0,8414374,76057420,13886239,1224823,195475920,15834343,270810059,10469193,8281302,322628,286644402,66273
MI,Macomb County,2020,General Purpose,588170168,270690000,180814373,0,621991,0,0,84215482,110683716,0,17171117,297868605,214835524,109189878,216709710,212572108,626031609,0,0,0,838603717,65943
GA,Fayette County,2020,General Purpose,87916248,62119904,7007951,0,0,0,14148013,0,633662,0,3279232,29322541,1171491,4822644,92934353,7851756,120399273,0,0,0,128251029,63880
FL,Volusia County,2020,General Purpose,695356883,67884925,107415938,0,0,39223018,348407115,3827549,42048773,0,33000973,139658715,126319798,57305779,375418268,98104788,600597772,20670699,568900,0,698702560,63009
VA,Chesterfield County,2020,General Purpose,1232112238,671083467,211280035,0,16403542,6545637,189567678,0,80242879,0,29548791,282035033,72649328,120474784,703164263,197527085,980796323,0,0,0,1178323408,62614
NJ,Cumberland County,2020,General Purpose,398088292,50515000,0,64380000,80685000,0,126656815,0,358130252,0,1233792,0,0,0,254468098,7817824,246650274,0,0,0,254468098,61503
NC,Cumberland County,2020,General Purpose,392166578,63226827,28768162,0,0,798275,36211480,558205,216044289,0,7120935,22143082,59771375,4344865,305220142,48436629,343042835,0,0,0,391479464,61503
TX,Brazoria County,2020,General Purpose,179779336,31612125,32487778,0,35085000,0,20461536,0,54179810,0,5953087,26584969,32034997,13083821,168394597,53826543,186271841,0,0,0,240098384,60940
MD,Howard County,2020,General Purpose,2758224249,1600257000,173405497,27708860,12529873,0,158265132,0,430354623,0,31131974,215209312,96390909,29629970,1382028903,171138837,1552120257,0,0,0,1723259094,58868
MN,Ramsey County,2020,General Purpose,699894491,209983487,70172127,0,0,3227000,228158123,0,133510679,0,45346319,297927629,351327776,0,438181739,146445415,940991729,0,0,0,1087437144,58769
CA,Stanislaus County,2020,General Purpose,1042882524,0,199733235,4679808,58302925,72788611,586184537,0,30436216,0,38987565,222535746,837084182,18309513,227813737,-18994995,1324738173,0,0,0,1305743178,58307
CO,Adams County,2020,General Purpose,477815377,0,31777051,0,7650606,0,232702751,0,14884025,0,21034358,49313611,228773302,9587457,315615969,43004397,560285942,0,0,0,603290339,57982
TX,Bell County,2020,General Purpose,149480832,104405000,13828877,0,0,0,23498752,0,970393,0,0,24350642,7739156,620326,116889424,17544635,132054913,0,0,0,149599548,57522
WV,Berkeley County,2020,General Purpose,35827429,28908412,203143,1863724,0,0,2796945,0,645169,0,945060,11071279,3346635,175077,31925659,7557798,38960852,0,0,0,46518650,56919
SC,Berkeley County,2020,General Purpose,375708059,193431960,29170515,2021643,2724648,179988,118909140,0,5105549,0,9793143,121557981,9828915,68081858,130697688,91312992,238853450,0,0,0,330166442,56919
WA,Spokane County,2020,General Purpose,447342000,206591000,92018000,4669000,6890000,0,34115000,17006000,40495000,0,0,175855000,125534000,21491000,203983000,73121000,453742000,35897000,4968000,6876000,526863000,56049
NC,Cleveland County,2020,General Purpose,127725395,11165000,11760747,582019,0,0,18449412,161170,20120659,0,4410314,17303787,21972008,4827703,95692634,-9468606,149264738,0,0,0,139796132,55834
GA,Clayton County,2020,General Purpose,616804693,37168245,31626135,0,0,0,282845551,0,235504000,0,20694866,47806644,12731154,1556052,263419948,-11264052,336777850,0,0,0,325513798,54424
TX,Galveston County,2020,General Purpose,565428917,274008576,17653935,0,0,0,14817230,0,252407229,1232615,6541947,24567291,32428354,0,158995399,-9711560,225702604,0,0,0,215991044,54043
AL,Mobile County,2020,General Purpose,321176640,0,26154882,0,0,0,70270770,0,39484601,0,8222826,22030565,45693578,2600115,181025356,32420779,218928835,0,0,0,251349614,53941
NJ,Passaic County,2020,General Purpose,832741739,277404000,0,78150000,48809,0,367960238,0,0,0,20534346,0,0,0,620544940,26393935,594151005,0,0,0,620544940,52693
VA,Henrico County,2020,General Purpose,1585579456,970010689,164268995,88129894,0,0,202467470,0,69602143,0,28117780,169835685,178549813,7026794,749568208,82985240,1021995260,126007966,20476506,7026794,1104980500,51786
DE,New Castle County,2020,General Purpose,1257525117,532137007,354206169,13274778,19164277,0,213194225,0,79725591,0,30263352,118290644,63903761,3632075,187356210,40356346,332826344,0,0,0,373182690,51175
SC,Charleston County,2020,General Purpose,1230883573,777670345,56135366,1993378,0,18830095,273199142,0,74602421,0,17131030,109863494,44043238,5416823,407430906,61097209,505657252,0,0,0,566754461,50299
FL,Manatee County,2020,General Purpose,1062823000,408723000,115321000,0,5661000,1308000,401051000,0,35340000,0,38907000,326196000,35442000,84581000,401547000,132603000,715163000,0,0,0,847766000,50088
KS,Sedgwick County,2020,General Purpose,431165439,138365132,86992403,1504502,0,0,168762539,0,24106664,0,7350000,65386948,128383227,9123791,229542097,36984002,395452061,622719,0,0,432436063,49323
FL,Collier County,2020,General Purpose,1224899629,349409000,112748463,8063564,234714000,70000,426770034,0,37737520,0,35987175,308273540,45572402,89441371,601531676,169792728,875026261,0,0,0,1044818989,47834
SC,York County,2020,General Purpose,359031792,137944682,40967542,0,0,18051343,111321245,0,37040847,0,5989577,50193517,14649713,2849950,199920851,49280620,218333411,0,0,0,267614031,47549
VA,York County,2020,General Purpose,201768131,123094382,28995017,1515179,0,0,27804335,0,11836437,0,7432881,28579852,15396193,3587581,142013150,-2380934,191957710,0,0,0,189576776,47549
