"","state","acfrs_original_name","id","NCES District ID","nces_original_name","student"
"173","GU","Guam Department of Education",49402,"6600002","Guam Department of Education",28812
"174","CA","Lodi Unified School District",146320,"0622230","Lodi Unified",28626
"175","GA","Columbia County Board of Education",196496,"1301410","Columbia County",28248
"176","CA","West Contra Costa Unified School District",146767,"0632550","West Contra Costa Unified",28246
"177","AL","Montgomery County Board of Education",30372,"0102430","Montgomery County",28185
"178","CA","Temecula Valley Unified School District",146704,"0600028","Temecula Valley Unified",27979
"179","CA","Desert Sands Unified School District",146074,"0611110","Desert Sands Unified",27963
"180","MD","Charles County Public Schools",41712,"2400270","Charles County Public Schools",27521
"181","CA","Chino Valley Unified School District",146018,"0608460","Chino Valley Unified",27511
"182","TX","Lubbock Independent School District",39079,"4828500","LUBBOCK ISD",27348
"183","TX","La Joya Independent School District",39023,"4826130","LA JOYA ISD",27291
"184","GA","School District Hall County",189216,"1302610","Hall County",27135
"185","GA","Hall County Board of Education",105302,"1302610","Hall County",27135
"186","TX","Alvin Independent School District",38833,"4808090","ALVIN ISD",27022
"187","NC","Onslow County Board of Education",36623,"3703450","Onslow County Schools",26946
"188","NY","Rochester City School District",52983,"3624750","ROCHESTER CITY SCHOOL DISTRICT",26924
"189","WI","Madison Metropolitan School District",39962,"5508520","Madison Metropolitan School District",26842
"190","GA","Douglas County Board of Education",70977,"1301860","Douglas County",26663
"191","TX","Midland Independent School District",39098,"4830570","MIDLAND ISD",26432
"192","TX","Pflugerville Independent School District",39214,"4834830","PFLUGERVILLE ISD",26400
"193","NY","Yonkers City School District",90202,"3631920","YONKERS CITY SCHOOL DISTRICT",26331
"194","CA","Saddleback Valley Unified School District",146582,"0633860","Saddleback Valley Unified",26304
"195","CA","Orange Unified School District",146459,"0628650","Orange Unified",26265
"196","NC","New Hanover County Board of Education",36619,"3703330","New Hanover County Schools",25938
"197","MO","The School District of Springfield R-XII",35219,"2928860","SPRINGFIELD R-XII",25659
"198","TX","Carrollton-Farmers Branch Independent School District",43037,"4813050","CARROLLTON-FARMERS BRANCH ISD",25611
"199","IN","Indianapolis Public Schools",33290,"1804770","Indianapolis Public Schools",25611
"200","CA","Glendale Unified School District",146169,"0615240","Glendale Unified",25528
"201","WV","Kanawha County Board of Education",39792,"5400600","KANAWHA COUNTY SCHOOLS",25429
"202","MD","Board of Education of Carroll County",41998,"2400210","Carroll County Public Schools",25345
"203","CA","Twin Rivers Unified School District",146728,"0601332","Twin Rivers Unified",25340
"204","SD","Sioux Falls School District 49-5",38435,"4666270","Sioux Falls School District 49-5",25196
"205","CA","Rialto Unified School District",146550,"0632370","Rialto Unified",25186
"206","CA","Placentia-Yorba Linda Unified School District",146507,"0630660","Placentia-Yorba Linda Unified",25162
"207","FL","Bay County District School Board",68564,"1200090","BAY",25109
"208","TX","Comal Independent School District",38883,"4814730","COMAL ISD",25089
"209","TX","Northwest Independent School District",56515,"4833180","NORTHWEST ISD",25040
"210","TX","Mckinney Independent School District",38876,"4829850","MCKINNEY ISD",24621
"211","CA","Montebello Unified School District",146392,"0625470","Montebello Unified",24371
"212","NC","Pitt County Board of Education",36634,"3700012","Pitt County Schools",23975
"213","AL","Huntsville City Board of Education",30363,"0101800","Huntsville City",23882
"214","CA","Manteca Unified School District",146349,"0623610","Manteca Unified",23834
"215","TX","Hurst-Euless-Bedford Independent School District",152919,"4824060","HURST-EULESS-BEDFORD ISD",23816
"216","CA","Chaffey Joint Union High School District",146012,"0608160","Chaffey Joint Union High",23724
"217","TX","Laredo Independent School District",191612,"4826790","LAREDO ISD",23706
"218","TX","Judson Independent School District",43407,"4824990","JUDSON ISD",23680
"219","NC","Buncombe County Board of Education",36508,"3700450","Buncombe County Schools",23669
"220","TX","Birdville Independent School District",46572,"4810230","BIRDVILLE ISD",23576
"221","CA","Tustin Unified School District",146724,"0640150","Tustin Unified",23521
"222","CA","Murrieta Valley Unified School District",31350,"0600029","Murrieta Valley Unified",23470
"223","AR","Little Rock School District",30765,"0509000","LITTLE ROCK SCHOOL DISTRICT",23237
"224","NC","Alamance-Burlington Board of Education",40253,"3700030","Alamance-Burlington Schools",23148
"225","CA","Chula Vista Elementary School District",146022,"0608610","Chula Vista Elementary",23116
"226","CA","Torrance Unified School District",146711,"0639420","Torrance Unified",23100
"227","MD","Washington County Board of Education",40333,"2400660","WASHINGTON COUNTY PUBLIC SCHOOLS",22993
"228","FL","Hernando County District School Board",148110,"1200810","HERNANDO",22973
"229","OH","Toledo City School District",37166,"3904490","Toledo City",22897
"230","GA","Coweta County Board of Education",189200,"1301500","Coweta County",22855
"231","GA","School District Coweta County",196511,"1301500","Coweta County",22855
"232","CA","Pomona Unified School District",146524,"0631320","Pomona Unified",22766
"233","OH","South-Western City School District",42828,"3904480","South-Western City",22727
"234","AL","Birmingham City Board of Education",44946,"0100390","Birmingham City",22726
"235","PA","School District of Pittsburgh",37840,"4219170","Pittsburgh SD",22665
"236","CA","East Side Union High School District",146094,"0611820","East Side Union High",22576
"237","MS","Jackson Public School District",35016,"2802190","JACKSON PUBLIC SCHOOL DISTRICT",22510
"238","CA","Palm Springs Unified School District",146479,"0629550","Palm Springs Unified",22439
"239","TX","Galena Park Independent School District",38986,"4820250","GALENA PARK ISD",22428
"240","TX","Mcallen Independent School District",42615,"4829670","MCALLEN ISD",22427
"241","SC","Beaufort County School District",38324,"4501110","Beaufort 01",22405
"242","CA","Hemet Unified School District",146208,"0616920","Hemet Unified",22303
"243","CA","William S. Hart Union High School District",31258,"0642510","William S. Hart Union High",22228
"244","OH","Olentangy Local School District",43224,"3904676","Olentangy Local",22124
"245","CA","Downey Unified School District",146081,"0611460","Downey Unified",22101
"246","CA","Hesperia Unified School District",146210,"0600014","Hesperia Unified",22060
"247","CO","Mesa County Valley School District No. 51",32068,"0804350","Mesa County Valley School District No. 51",22046
"248","TX","Allen Independent School District",42639,"4807890","ALLEN ISD",21880
"249","GA","Bibb County School District",42600,"1300420","Bibb County",21812
"250","NC","Public Schools of Robeson County",36643,"3703930","Public Schools of Robeson County",21783
"251","TX","Pearland Independent School District",38837,"4834440","PEARLAND ISD",21760
"252","CA","Antelope Valley Union High School District",67017,"0602820","Antelope Valley Union High",21756
"253","CA","Colton Joint Unified School District",146038,"0609390","Colton Joint Unified",21469
"254","KY","Boone County Board of Education",33620,"2100510","Boone County",21351
"255","OH","Akron City School District",37265,"3904348","Akron City",21298
"256","MO","Rockwood R-VI School District",35312,"2926850","ROCKWOOD R-VI",21216
"257","CA","Lake Elsinore Unified School District",146281,"0600027","Lake Elsinore Unified",21065
"258","AL","Shelby County Board of Education",30382,"0103030","Shelby County",20991
"259","CA","San Marcos Unified School District",146605,"0634880","San Marcos Unified",20873
"260","CA","Redlands Unified School District",146543,"0632070","Redlands Unified",20826
"261","MI","Dearborn City School District",80587,"2611600","Dearborn City School District",20614
"262","NC","Iredell-Statesville Board of Education",36587,"3702310","Iredell-Statesville Schools",20606
"263","GA","Fayette County Board of Education",43601,"1302130","Fayette County",20538
"264","NC","Harnett County Board of Education",36575,"3702010","Harnett County Schools",20416
"265","CA","Compton Unified School District",146043,"0609620","Compton Unified",20400
"266","CA","Vista Unified School District",146752,"0641190","Vista Unified",20338
"267","CA","ABC Unified School District",145869,"0601620","ABC Unified",20269
"268","WI","Green Bay Area Public School District",197692,"5505820","Green Bay Area Public School District",20248
"269","CA","Newport-Mesa Unified School District",146434,"0627240","Newport-Mesa Unified",20173
"270","CA","Ontario-Montclair School District",146457,"0628470","Ontario-Montclair",20147
"271","CA","Madera Unified School District",93679,"0623340","Madera Unified",20119
"272","CA","Val Verde Unified School District",146738,"0691135","Val Verde Unified",19940
"273","CA","Hayward Unified School District",146203,"0616740","Hayward Unified",19802
"274","WV","Berkeley County Board of Education",39779,"5400060","BERKELEY COUNTY SCHOOLS",19700
"275","GA","Newton County Board of Education",105336,"1303930","Newton County",19579
"276","AL","Madison County Board of Education",30364,"0102220","Madison County",19478
"277","NY","Brentwood Union Free School District",36413,"3605280","BRENTWOOD UNION FREE SCHOOL DISTRICT",19283
"278","CO","School District 27j",196446,"0802580","School District 27J",19275
"279","UT","Cache County School District",102364,"4900120","Cache District",19260
"280","CA","Pajaro Valley Unified School District",146477,"0629490","Pajaro Valley Unified",19249
"281","CA","Jurupa Unified School District",104966,"0619260","Jurupa Unified",19089
"282","AL","Tuscaloosa County Board of Education",42910,"0103390","Tuscaloosa County",19052
"283","FL","Martin County District School Board",32409,"1201290","MARTIN",19038
"284","NC","Rowan-Salisbury Board of Education",36647,"3704050","Rowan-Salisbury Schools",18972
"285","NC","Davidson County Board of Education",36546,"3701140","Davidson County Schools",18723
"286","CA","Conejo Valley Unified School District",146044,"0609640","Conejo Valley Unified",18345
"287","TX","Tomball Independent School District",38997,"4842960","TOMBALL ISD",18294
"288","TX","Tyler Independent School District",39180,"4843470","TYLER ISD",18260
"289","NC","Wayne County Board of Education",36684,"3704880","Wayne County Public Schools",18240
"290","MO","Lee's Summit R-VII School District",43587,"2918300","LEE'S SUMMIT R-VII",18220
"291","CA","Alvord Unified School District",145889,"0602430","Alvord Unified",18170
"292","TX","Beaumont Independent School District",39038,"4809670","BEAUMONT ISD",18162
"293","PA","Central Bucks School District",37907,"4205310","Central Bucks SD",18104
"294","MD","St. Mary's County Public Schools",40284,"2400600","St. Mary's County Public Schools",18083
"295","MI","Ann Arbor Public Schools",99079,"2602820","Ann Arbor Public Schools",18073
"296","UT","Tooele County School District",102453,"4901050","Tooele District",17913
"297","FL","Indian River County District School Board",32398,"1200930","INDIAN RIVER",17871
"298","MO","Parkway C-2 School District",167911,"2923580","PARKWAY C-2",17864
"299","AR","Bentonville School District 6",98641,"0503060","BENTONVILLE SCHOOL DISTRICT",17848
"300","CA","Hacienda La Puente Unified School District",146193,"0616325","Hacienda la Puente Unified",17826
"301","MO","Wentzville R-IV School District",35305,"2931650","WENTZVILLE R-IV",17736
"302","CA","Coachella Valley Unified School District",146031,"0609070","Coachella Valley Unified",17657
"303","WI","Racine Unified School District",40049,"5512360","Racine Unified School District",17529
"304","MO","Francis Howell R-III School District",35304,"2928950","FRANCIS HOWELL R-III",17519
"305","KY","Warren County School District",33744,"2105730","Warren County",17508
"306","CA","Napa Valley Unified School District",146420,"0626640","Napa Valley Unified",17394
"307","TX","Wylie Independent School District",38879,"4846530","WYLIE ISD",17230
"308","CA","Oceanside Unified School District",146454,"0628250","Oceanside Unified",17223
"309","MO","Hazelwood School District",35314,"2913830","HAZELWOOD",17202
"310","TX","Weslaco Independent School District",56662,"4844960","WESLACO ISD",17164
"311","TX","Rockwall Independent School District",39156,"4837650","ROCKWALL ISD",17007
"312","CA","Santa Maria-Bonita School District",91426,"0605580","Santa Maria-Bonita",16959
"313","CA","Norwalk-La Mirada Unified School District",146441,"0627690","Norwalk-La Mirada Unified",16930
"314","TX","Prosper Independent School District",54241,"4836000","PROSPER ISD",16857
"315","CA","Oxnard Union High School District",146471,"0629270","Oxnard Union High",16839
"316","CA","Grossmont Union High School District",146189,"0616230","Grossmont Union High",16789
"317","PA","Allentown School District",38050,"4202280","Allentown City SD",16730
"318","CA","Cupertino Union School District",31466,"0610290","Cupertino Union",16718
"319","NJ","Edison Township School District",197027,"3404500","Edison Township School District",16712
"320","OH","Dublin City School District",37088,"3904702","Dublin City",16624
"321","TX","Abilene Independent School District",39205,"4807440","ABILENE ISD",16612
"322","GA","Rockdale County Board of Education",44645,"1304410","Rockdale County",16565
"323","OH","Hilliard City School District",37086,"3904701","Hilliard City",16519
"324","CA","Simi Valley Unified School District",146654,"0636840","Simi Valley Unified",16510
"325","OH","Lakota Local School District",37020,"3904611","Lakota Local",16475
"326","CA","Cajon Valley Union School District",31408,"0606810","Cajon Valley Union",16419
"327","CA","Anaheim Elementary School District",31305,"0602610","Anaheim Elementary",16374
"328","SC","School District of Pickens County",38361,"4503330","Pickens 01",16373
"329","SC","Sumter School District",55427,"4503902","Sumter 01",16336
"330","CA","Antioch Unified School District",145897,"0602850","Antioch Unified",16293
"331","CA","Alhambra Unified School District",145877,"0600153","Alhambra Unified",16278
"332","CA","Salinas Union High School District",146585,"0633980","Salinas Union High",16257
"333","CA","Ventura Unified School District",146744,"0640980","Ventura Unified",16236
"334","WA","Renton School District 403",191915,"5307230","Renton School District",16189
"335","TX","Bryan Independent School District",38843,"4811790","BRYAN ISD",16167
"336","TX","New Caney Independent School District",39108,"4832400","NEW CANEY ISD",16110
"337","WI","Appleton Area School District",40035,"5500390","Appleton Area School District",16081
"338","FL","Charlotte District School Board County",102317,"1200240","CHARLOTTE",16030
"339","MD","Calvert County Public Schools",40319,"2400150","Calvert County Public Schools",16022
"340","TX","Crowley Independent School District",39192,"4815910","CROWLEY ISD",15996
"341","TX","Schertz-Cibolo-U City Independent School District",197596,"4839480","SCHERTZ-CIBOLO-U CITY ISD",15972
"342","NC","Randolph County School System",36639,"3703780","Randolph County School System",15971
"343","CA","Pasadena Unified School District",146493,"0629940","Pasadena Unified",15951
"344","NC","Catawba County Board of Education",36523,"3700690","Catawba County Schools",15942
"345","CA","Huntington Beach Union High School District",146225,"0618060","Huntington Beach Union High",15894
"346","CA","Central Unified School District",146007,"0607970","Central Unified",15841
"347","CA","Oxnard School District",31904,"0629220","Oxnard",15730
"348","ID","Nampa School District 131",32718,"1602340","NAMPA SCHOOL DISTRICT",15699
"349","NJ","Trenton Board of Education",35661,"3416290","TRENTON PUBLIC SCHOOLS",15694
"350","WA","North Thurston Public Schools",49125,"5305850","North Thurston Public Schools",15634
"351","FL","Citrus County District School Board",32376,"1200270","CITRUS",15611
"352","CA","Santa Clara Unified School District",146621,"0635430","Santa Clara Unified",15306
"353","NJ","Toms River Regional School District",35860,"3416230","Toms River Regional School District",15305
"354","KY","Hardin County School District",44533,"2102490","Hardin County",15288
"355","MD","Board of Education of Cecil County",167709,"2400240","Cecil County Public Schools",15256
"356","MD","Board of Education of Wicomico County",41272,"2400690","Wicomico County Public Schools",15203
"357","CA","Burbank Unified School District",145971,"0606450","Burbank Unified",15182
"358","OH","Westerville City School District",37089,"3904504","Westerville City",15174
"359","MO","Kansas City Public Schools",172258,"2916400","KANSAS CITY 33",15147
"360","MO","The School District of Kansas City",190111,"2916400","KANSAS CITY 33",15147
"361","GA","Carroll County Board of Education",105264,"1300840","Carroll County",15005
"362","TX","Waco Independent School District",39086,"4844280","WACO ISD",14899
"363","CA","Pleasanton Unified School District",146519,"0600020","Pleasanton Unified",14878
"364","AR","Fort Smith School District 100",93574,"0506330","FORT SMITH SCHOOL DISTRICT",14748
"365","MO","Independence 30 School District",35235,"2915480","INDEPENDENCE 30",14711
"366","KY","Kenton County School District",33685,"2103090","Kenton County",14602
"367","NC","Cleveland County Board of Education",36532,"3700900","Cleveland County Schools",14584
"368","TX","San Angelo Independent School District",39209,"4838700","SAN ANGELO ISD",14574
"369","MI","Grand Rapids Public Schools",34476,"2616440","Grand Rapids Public Schools",14557
"370","CA","Ceres Unified School District",146011,"0608130","Ceres Unified",14522
