"","state.abb","county","census_id","id.x","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","id.y","state.name","population"
"28","MI","Oakland County","23106306300000",34282,2020,"General Purpose",741376009,358527575,321853855,0,0,0,22497565,0,0,384338239,16548221,454414326,185196498,14649704,316477090,146233143,824504475,6365194,14688864,2923,970737618,FALSE,"0500000US26125","Michigan",1274395
"29","PA","Allegheny County","39100200200000",37703,2020,"General Purpose",3045677641,1012287685,301434463,3870322,0,0,1648275854,0,57453399,0,10556597,75074068,1458756562,35559335,79855019,5509223,2192761099,0,0,0,2198270322,FALSE,"0500000US42003","Pennsylvania",1250578
"30","UT","Salt Lake County","45101801800000",39288,2020,"General Purpose",958229946,504958525,163875936,4745498,0,70682811,75995899,0,95202533,0,28954974,226374240,304283063,2987822,799342870,104083513,1228904482,0,0,0,1332987995,FALSE,"0500000US49035","Utah",1185238
"31","CA","Contra Costa County","5100700700000",165557,2020,"General Purpose",2611861000,126605000,556090000,258037000,0,1080000,677976000,0,523933000,236000,92573000,1894166000,1021424000,40990000,782125000,315039000,3423666000,0,0,0,3738705000,FALSE,"0500000US06013","California",1165927
"32","VA","Fairfax County","47103003000000",39421,2020,"General Purpose",7213251402,3890750316,602285356,7525762,0,439073057,1838029525,0,136090113,0,153611412,917274574,346819376,43324953,4177009292,-48831469,5533259664,0,0,0,5484428195,FALSE,"0500000US51059","Virginia",1150309
"33","NC","Wake County","34109209200000",36674,2020,"General Purpose",3533852433,2384388875,289701442,32305,0,275320595,115220710,1917781,415753783,0,16515621,115235949,130757498,0,1443608747,-22507974,1712110168,0,0,0,1689602194,FALSE,"0500000US37183","North Carolina",1129410
"34","NC","Mecklenburg County","34106006000000",36607,2020,"General Purpose",2678783023,1500448673,237829916,3151120,207024045,0,137831581,1320744,514883109,0,36921453,171632573,160843787,866417,1536148056,5871750,1863619083,0,0,0,1869490833,FALSE,"0500000US37119","North Carolina",1115482
"35","GA","Fulton County","11106006000000",169817,2020,"General Purpose",3257955000,1019637000,98554000,50536000,0,0,333578000,0,1675472000,0,47787000,228532000,165492000,6001000,734472000,27481000,1107016000,0,0,0,1134497000,FALSE,"0500000US13121","Georgia",1066710
"36","TX","Collin County","44104304300000",38621,2020,"General Purpose",665516189,537131000,116609392,0,0,0,0,32523900,0,0,9374000,52572536,119249345,6652043,273398852,71754044,380118732,0,0,0,451872776,FALSE,"0500000US48085","Texas",1064465
"37","MD","Montgomery County","21101601500000",33967,2020,"General Purpose",6415638072,3588542269,808532471,2820000,0,604379284,106518934,0,825636740,0,92651456,739082234,259057362,71022023,4013545791,241377004,4841330406,0,0,0,5082707410,FALSE,"0500000US24031","Maryland",1062061
"38","AZ","Pima County","3101001000000",31619,2020,"General Purpose",1970239000,722521000,171786000,0,0,2869000,776192000,0,4058000,4588000,40446000,263938000,175720000,48608000,700588000,108999000,1079855000,0,0,0,1188854000,FALSE,"0500000US04019","Arizona",1043433
"39","CA","Fresno County","5101001000000",31677,2020,"General Purpose",2161228000,356601000,257422000,2805000,278550000,0,1054510000,0,0,0,53630000,122215000,961220000,0,673796000,69499000,1687732000,0,0,0,1757231000,FALSE,"0500000US06019","California",1008654
"40","NY","Westchester County","33106005500000",36016,2020,"General Purpose",6973518018,1517014912,326975944,27589106,0,75573833,498291015,0,4264402132,0,56072618,198394461,911657362,30862085,1495527673,-149014326,2785455907,0,0,0,2636441581,FALSE,"0500000US36119","New York",1004457
"41","MO","St. Louis County","26109509500000",35117,2020,"General Purpose",1099837660,412169399,161735874,0,6199946,126172449,324443093,0,0,0,46493765,134926496,166483913,8366235,561067735,-49411735,920256114,0,0,0,870844379,FALSE,"0500000US29189","Missouri",1004125
"42","IN","Marion County",NA,43507,2020,"General Purpose",873586220,0,23965076,705790781,0,1973352,114023647,0,15112759,0,9518978,58636318,47732009,0,242586009,2852747,346101589,0,0,0,348954336,FALSE,"0500000US18097","Indiana",977203
"43","MD","Prince George's County","21101701600000",189892,2020,"General Purpose",7876190727,2603075752,553578380,98477445,0,310379185,1828515183,0,2063326398,0,87011437,367350367,141197692,10335801,1978333298,-235744323,2732961481,0,0,0,2497217158,FALSE,"0500000US24033","Maryland",967201
"44","FL","Pinellas County","10105205200000",32255,2020,"General Purpose",1957358812,51969653,271625819,615497,0,76992808,710305897,0,697335520,0,70969447,563389178,189943524,37814016,767359074,116744750,1441761042,0,0,0,1558505792,FALSE,"0500000US12103","Florida",959107
"45","GA","Gwinnett County","11106706700000",189159,2020,"General Purpose",1455596,701609,201771,150123,0,31352,213317,0,39204,0,37518,512892,186765,131845,865861,371828,1325535,0,0,0,1697363,FALSE,"0500000US13135","Georgia",957062
"46","NJ","Bergen County","31100200200000",35609,2020,"General Purpose",1293974943,690771000,0,0,926715,0,458269025,0,1209601242,0,25906823,0,0,0,813424414,38464003,774960411,0,0,0,813424414,FALSE,"0500000US34003","New Jersey",955732
"47","NY","Erie County","33101501400000",35982,2020,"General Purpose",3025657000,923393000,237233000,0,0,125000000,289687000,0,1345295000,0,33915000,136508000,499257000,16561000,1231517000,-86254000,1970097000,0,0,0,1883843000,FALSE,"0500000US36029","New York",954236
"48","WI","Milwaukee County","50104104100000",44624,2020,"General Purpose",2876921000,640761000,122753000,0,0,0,594769000,0,1415115000,0,41454000,284744000,402990000,12031000,471296000,126563000,1044498000,0,0,0,1171061000,FALSE,"0500000US55079","Wisconsin",939489
"49","TN","Shelby County","43107907900000",229408,2020,"General Purpose",1845498562,922216144,185322233,4329258,0,123200000,571656496,0,0,18933000,30558690,187907321,84996633,6099120,937532099,-93531331,1310066504,0,0,0,1216535173,FALSE,"0500000US47157","Tennessee",929744
"50","WA","Pierce County","48102702700000",42923,2020,"General Purpose",758885000,401002000,91501000,0,60660000,0,74544000,25299000,87223000,0,29046000,234451000,296159000,48544000,359613000,80367000,858400000,0,0,0,938767000,FALSE,"0500000US53053","Washington",921130
"51","CA","Kern County","5101501500000",146252,2020,"General Purpose",2747291000,232460000,227726000,21079000,13509000,0,1804165000,0,42679000,0,95105000,415233000,924522000,32732000,475754000,2865000,1845376000,0,0,0,1848241000,FALSE,"0500000US06029","California",909235
"52","TX","Denton County","44106106100000",44488,2020,"General Purpose",920520035,622601643,74805984,0,0,45790000,43366444,0,124544261,0,9411703,28968139,139030225,581568,248564291,58625180,358519043,0,0,0,417144223,FALSE,"0500000US48121","Texas",906422
"53","MI","Macomb County","23105005000000",34275,2020,"General Purpose",588170168,270690000,180814373,0,621991,0,0,84215482,110683716,0,17171117,297868605,214835524,109189878,216709710,212572108,626031609,0,0,0,838603717,FALSE,"0500000US26099","Michigan",881217
"54","TX","El Paso County","44107107100000",38624,2020,"General Purpose",422205749,165054091,51725969,0,4041146,0,108703516,0,48906739,0,36103511,57505746,39098782,699560,285012985,-1000356,383317429,0,0,0,382317073,FALSE,"0500000US48141","Texas",865657
"55","NJ","Essex County","31100700700000",43829,2020,"General Purpose",1244720579,624040000,0,14098,7964515,43980000,0,0,0,0,0,0,0,0,1008216197,37232544,970983653,0,0,0,1008216197,FALSE,"0500000US34013","New Jersey",863728
"56","NJ","Middlesex County","31101201200000",43003,2020,"General Purpose",769523890,215265000,0,100830000,30485505,36478000,320097775,0,1171909109,0,0,0,0,0,689147555,18401117,670746438,0,0,0,689147555,FALSE,"0500000US34023","New Jersey",863162
"57","MD","Baltimore County","21100300300000",189872,2020,"General Purpose",8640980000,3887143000,461723000,0,4375000,350000000,1831608000,0,1696611000,0,82951000,666937000,241329000,115927000,2143604000,-305762000,3473559000,0,0,0,3167797000,FALSE,"0500000US24005","Maryland",854535
"58","CA","Ventura County",NA,149441,2020,"General Purpose",2147171000,28616000,476098000,328489000,11726000,180020000,677172000,0,131699000,1713000,95996000,844027000,657605000,29670000,632924000,66132000,2098094000,565376000,10342000,6687000,2164226000,FALSE,"0500000US06111","California",843843
"59","OH","Hamilton County","36103103100000",36884,2020,"General Purpose",2670799000,1060334000,189713000,8150000,388663000,0,741809000,17322000,218552000,0,62610000,455413000,309024000,5029000,675543000,14989000,1430020000,0,0,0,1445009000,FALSE,"0500000US39061","Ohio",830639
"60","TX","Fort Bend County","44107907900000",38625,2020,"General Purpose",1449434641,620942114,155833372,439067,0,2259978,47941506,0,597396893,0,16744995,57318426,96213885,258608324,347722213,155803954,604058894,0,0,0,759862848,FALSE,"0500000US48157","Texas",822779
"61","OR","Multnomah County","38102602600000",103191,2020,"General Purpose",1265422000,344351000,170272000,1329000,3125000,0,581413000,0,121091000,0,32855000,299879000,434998000,27782000,610417000,15237000,1357839000,1036000,29000,0,1373076000,FALSE,"0500000US41051","Oregon",815428
"62","CA","San Joaquin County","5103903800000",31712,2020,"General Purpose",2227446646,7897000,257288477,14824000,0,1276000,1584683469,0,129969434,0,42274000,581697872,770401571,27607558,379521542,75020848,1684207695,0,0,0,1759228543,FALSE,"0500000US06077","California",779233
"63","GA","Cobb County","11103303300000",32440,2020,"General Purpose",1816539766,539334939,201495859,3757585,0,167017301,667140390,0,178505026,0,36493230,353971738,97906748,87009233,685250753,140615534,1083522938,0,0,0,1224138472,FALSE,"0500000US13067","Georgia",766149
"64","CA","San Mateo County","5104104000000",31714,2020,"General Purpose",1979736000,0,577795000,570202000,0,2207000,582014000,0,93292000,0,88988000,670556000,588692000,4585000,938071000,276434000,1925470000,0,0,0,2201904000,FALSE,"0500000US06081","California",764442
"65","FL","Lee County","10103603600000",32242,2020,"General Purpose",2530890000,736809000,204592000,12492000,11000000,94026000,585079000,0,807852000,0,33546000,483973000,154535000,66230000,594285000,17236000,1281787000,0,0,0,1299023000,FALSE,"0500000US12071","Florida",760822
"66","NY","Monroe County","33102802600000",43310,2020,"General Purpose",2108989000,805657000,328043000,3521000,0,53042000,271901000,0,608043000,0,0,248198000,408404000,26841000,963625000,-16095000,1663163000,0,0,0,1647068000,FALSE,"0500000US36055","New York",759443
"67","CO","El Paso County","6102102000000",31965,2020,"General Purpose",802181693,0,36876174,2986553,0,0,485244387,0,138991599,0,18442054,42054543,222571602,62341385,216814711,14710704,529071537,0,0,0,543782241,FALSE,"0500000US08041","Colorado",730395
"68","FL","Polk County","10105305300000",32256,2020,"General Purpose",1366570778,240683017,167107092,0,0,82482000,519641860,0,198094593,0,19968755,316787091,104462284,32880703,518042395,19269411,952903062,0,0,0,972172473,FALSE,"0500000US12105","Florida",725046
"69","NJ","Hudson County","31100900900000",35620,2020,"General Purpose",1109464808,459672000,0,0,2143174,0,452267834,0,471436462,0,32690799,0,0,0,774659279,39416048,735243231,0,0,0,774659279,FALSE,"0500000US34017","New Jersey",724854
"70","MO","Jackson County","26104804800000",35114,2020,"General Purpose",544917604,401917962,71189070,810791,0,0,46067941,0,5636802,0,8465885,50984346,117044306,15055237,196820068,22817836,357086121,0,0,0,379903957,FALSE,"0500000US29095","Missouri",717204
"71","IL","Lake County","14104904900000",32773,2020,"General Purpose",412208585,219659176,89750647,0,0,0,47434620,0,18804476,0,21525954,84345708,188738215,29686815,259190518,61721624,500239632,0,0,0,561961256,FALSE,"0500000US17097","Illinois",714342
"72","IL","Will County","14109909900000",32790,2020,"General Purpose",635030409,347022621,64412446,925969,0,0,130130559,0,43959176,0,33266590,71340485,103269023,11846042,290873110,77386587,399942073,0,0,0,477328660,FALSE,"0500000US17197","Illinois",696355
"73","TN","Nashville-Davidson County","43201900300000",168934,2020,"General Purpose",10106765040,4340274238,431000385,0,24118692,625609379,303734402,0,4261044596,0,97051724,503789653,521030503,80371785,1880247448,-197332415,3182771804,265887373,1284140,26567580,2985439389,FALSE,"1600000US4752006","Tennessee",689447
"74","NM","Bernalillo County","32100100100000",35908,2020,"General Purpose",802443844,253320992,87476753,0,0,0,325383442,0,96053173,0,40209486,28485850,42228681,9348178,412729190,46528057,446263842,0,0,0,492791899,FALSE,"0500000US35001","New Mexico",676444
"75","AL","Jefferson County","1103703700000",31554,2020,"General Purpose",2965742000,0,191938000,8537000,0,2518608000,0,142088000,119964000,0,22339000,260979000,96682000,21483000,410070000,-14643000,803857000,0,0,0,789214000,FALSE,"0500000US01073","Alabama",674721
"76","OK","Tulsa County","37107207200000",37333,2020,"General Purpose",248720189,103982424,16143588,1688807,0,585471,101018575,0,3994591,0,6144609,40562367,141319871,4684010,142961068,112962253,216565063,0,0,0,329527316,FALSE,"0500000US40143","Oklahoma",669279
"77","UT","Utah County",NA,39292,2020,"General Purpose",328192274,227586021,59635967,0,0,0,24085947,0,8261379,0,6177350,80179196,0,0,252680367,261065091,71794472,0,0,0,332859563,FALSE,"0500000US49049","Utah",659399
"78","MI","Kent County","23104104100000",34271,2020,"General Purpose",258942401,118742822,52041949,0,0,20300000,0,56763648,20274392,0,10260598,103959597,175675243,6262714,176806178,59811250,402892482,3271536,204298,0,462703732,FALSE,"0500000US26081","Michigan",657974
"79","CO","Arapahoe County","6100300300000",31951,2020,"General Purpose",435652646,129941621,52349020,11647046,0,2664894,208374554,0,0,0,18289696,69567963,209406835,4503917,226278746,8840352,500917109,11067596,6965508,0,509757461,FALSE,"0500000US08005","Colorado",655070
"80","NJ","Monmouth County","31101301300000",46288,2020,"General Purpose",2519448708,390810000,0,0,0,19500000,435741708,0,473743040,0,0,0,0,0,670942714,33082248,637860466,0,0,0,670942714,FALSE,"0500000US34025","New Jersey",643615
"81","NJ","Ocean County","31101501500000",35632,2020,"General Purpose",981487997,455251000,0,0,1824093,0,320908683,0,0,0,0,0,0,0,607245768,31447626,575798142,0,0,0,607245768,FALSE,"0500000US34029","New Jersey",637229
"82","TX","Montgomery County","44117017000000",38639,2020,"General Purpose",1112577123,648766931,150264813,10674041,0,0,24066035,0,253594793,0,15389794,143370975,81513686,65784276,265488545,12055257,544102225,0,0,0,556157482,FALSE,"0500000US48339","Texas",620443
"83","KS","Johnson County","17104604600000",44652,2020,"General Purpose",1383005817,967409999,84745526,1975644,14781417,0,251000703,0,23868678,0,23438999,265893122,164557904,6418693,391415902,84216440,744069181,0,0,0,828285621,FALSE,"0500000US20091","Kansas",609863
"84","TX","Williamson County","44124624600000",44495,2020,"General Purpose",1352794743,1139091150,92763816,0,0,0,55619549,0,59226881,0,6093347,53133045,64303593,49873724,339921021,117889430,389341953,0,0,0,507231383,FALSE,"0500000US48491","Texas",609017
"85","FL","Brevard County","10100500500000",32225,2020,"General Purpose",920994570,204664734,114651332,1880957,49105318,0,414905456,0,27264556,0,33194145,240122425,107508896,23519458,393530129,78652267,686028641,0,2320173,894278,764680908,FALSE,"0500000US12009","Florida",606612
"86","OR","Washington County","38103403400000",103199,2020,"General Purpose",741441000,70630000,192488000,0,141710000,5162000,278895000,0,6484000,2660000,12489000,111253000,205850000,16564000,270749000,-3555000,607971000,0,0,0,604416000,FALSE,"0500000US41067","Oregon",600372
"87","MD","Anne Arundel County","21100200200000",40842,2020,"General Purpose",4134565173,2474047271,229998820,20245,2362394,0,647187251,0,562453474,0,33872059,318411787,123052168,157135998,1605100751,45981586,2157719118,0,0,0,2203700704,FALSE,"0500000US24003","Maryland",588261
"88","NE","Douglas County","28102802800000",35436,2020,"General Purpose",487154430,71179614,166713502,0,0,0,180046767,0,47804755,0,13580702,105448620,81550951,10337445,186144569,59093202,324388383,0,0,0,383481585,FALSE,"0500000US31055","Nebraska",584526
"89","CO","Jefferson County","6103002900000",31971,2020,"General Purpose",131834800,19169482,31926606,3236541,1839231,0,0,0,0,0,24568367,50010865,169323635,2488613,298411949,66208342,454026720,0,0,0,520235062,FALSE,"0500000US08059","Colorado",582910
"90","PA","Delaware County","39102302300000",42724,2020,"General Purpose",1040531829,298485433,225111651,0,0,0,0,10917854,512163395,0,0,84449706,445176547,6788517,180557758,-1266303,718238831,0,0,0,716972528,FALSE,"0500000US42045","Pennsylvania",576830
"91","DE","New Castle County","8100200200000",32213,2020,"General Purpose",1257525117,532137007,354206169,13274778,19164277,0,213194225,0,79725591,0,30263352,118290644,63903761,3632075,187356210,40356346,332826344,0,0,0,373182690,FALSE,"0500000US10003","Delaware",570719
"92","FL","Pasco County","10105105100000",148146,2020,"General Purpose",1294675425,428657336,113046133,0,0,14716000,516207619,0,71285733,0,30430929,375526426,160915454,23821401,432123718,190718018,801668981,0,0,0,992386999,FALSE,"0500000US12101","Florida",561891
"93","WI","Dane County","50101301300000",39831,2020,"General Purpose",748979851,432874789,102379941,0,0,0,0,23771724,110903425,0,90676726,110858642,161394229,28646713,358579833,3124398,656355019,0,0,0,659479417,FALSE,"0500000US55025","Wisconsin",561504
"94","FL","Volusia County","10106406400000",32262,2020,"General Purpose",695356883,67884925,107415938,0,0,39223018,348407115,3827549,42048773,0,33000973,139658715,126319798,57305779,375418268,98104788,600597772,20670699,568900,0,698702560,FALSE,"0500000US12127","Florida",553543
"95","PA","Lancaster County","39103603600000",43076,2020,"General Purpose",369119890,167731121,37517998,14284206,900000,21036600,4582966,0,110146185,0,7133809,30708566,174492246,0,124205198,29964436,299441574,0,0,0,329406010,FALSE,"0500000US42071","Pennsylvania",552984
"96","CA","Stanislaus County","5105004900000",31724,2020,"General Purpose",1042882524,0,199733235,4679808,58302925,72788611,586184537,0,30436216,0,38987565,222535746,837084182,18309513,227813737,-18994995,1324738173,0,0,0,1305743178,FALSE,"0500000US06099","California",552878
"97","MN","Ramsey County","24106206200000",34733,2020,"General Purpose",699894491,209983487,70172127,0,0,3227000,228158123,0,133510679,0,45346319,297927629,351327776,0,438181739,146445415,940991729,0,0,0,1087437144,FALSE,"0500000US27123","Minnesota",552352
"98","NC","Guilford County","34104104100000",36570,2020,"General Purpose",1222139137,710607639,107168872,0,0,0,57377689,813392,337432974,0,9551963,47968969,88160673,547307,515381488,33302508,618755929,0,0,0,652058437,FALSE,"0500000US37081","North Carolina",541299
"99","OH","Summit County","36107707700000",36912,2020,"General Purpose",535726723,62897497,40371864,871519,31154723,0,217580458,0,149155201,102498,28743976,118268727,242764215,7333912,253146240,46388425,575124669,45993490,941019,3355053,621513094,FALSE,"0500000US39153","Ohio",540428
"100","WA","Spokane County","48103203200000",39537,2020,"General Purpose",447342000,206591000,92018000,4669000,6890000,0,34115000,17006000,40495000,0,0,175855000,125534000,21491000,203983000,73121000,453742000,35897000,4968000,6876000,526863000,FALSE,"0500000US53063","Washington",539339
"101","OH","Montgomery County","36105705700000",83817,2020,"General Purpose",707900209,9722733,54779689,56667975,2715165,0,275674018,3069266,192563183,0,29766231,236852454,251124322,20289089,310255033,46064773,772456125,15826786,872431,0,818520898,FALSE,"0500000US39113","Ohio",537309
"102","PA","Chester County","39101501500000",37707,2020,"General Purpose",740035948,559704540,123245858,3896150,0,8890000,17207877,0,10387000,0,11794285,64066306,262167985,3475251,189743690,8148636,511304596,24120391,3229991,0,519453232,FALSE,"0500000US42029","Pennsylvania",534413
"103","SC","Greenville County","41102302300000",44061,2020,"General Purpose",613256501,70991684,109306463,12009757,0,87620915,232505430,0,38130664,0,10894598,78043454,32079298,19116600,184411929,-16451367,330102648,0,0,0,313651281,FALSE,"0500000US45045","South Carolina",525534
"104","NJ","Passaic County","31101601600000",44971,2020,"General Purpose",832741739,277404000,0,78150000,48809,0,367960238,0,0,0,20534346,0,0,0,620544940,26393935,594151005,0,0,0,620544940,FALSE,"0500000US34031","New Jersey",524118
"105","KS","Sedgwick County","17108708700000",33454,2020,"General Purpose",431165439,138365132,86992403,1504502,0,0,168762539,0,24106664,0,7350000,65386948,128383227,9123791,229542097,36984002,395452061,622719,0,0,432436063,FALSE,"0500000US20173","Kansas",523824
"106","CO","Adams County","6100100100000",31949,2020,"General Purpose",477815377,0,31777051,0,7650606,0,232702751,0,14884025,0,21034358,49313611,228773302,9587457,315615969,43004397,560285942,0,0,0,603290339,FALSE,"0500000US08001","Colorado",519572
"107","IL","Kane County","14104504500000",47034,2020,"General Purpose",195019766,60706016,65302961,0,0,0,20780530,0,10618922,0,6437653,29685421,57850946,11898283,193289365,42200803,250523212,0,0,0,292724015,FALSE,"0500000US17089","Illinois",516522
"108","NJ","Morris County","31101401400000",44594,2020,"General Purpose",545046906,199180000,0,0,1192623,0,253897692,0,363441,0,0,0,0,0,413130952,29870469,383260483,0,0,0,413130952,FALSE,"0500000US34027","New Jersey",509285
