state,acfrs_original_name
AR, Mcgehee School District No. 17 
AR, Melbourne School District No. 20 
AR, Mena School District No. 23 
AR, Midland School District No. 19 
AR, Mineral Springs School District 
AR, Monticello School District 
AR, Mount Ida School District 
AR, Mountain View School District No. 30 
AR, Mt. Vernon-Enola School District No. 41 
AR, Mulberry-Pleasant View Bi-County School District 
AR, Nashville School District No.1 
AR, Nemo Vista School District 
AR, Nevada School District 
AR, Norfork School District 
AR, North Little Rock School District No.1 
AR, Northcentral Arkansas Educational Service Cooperative 
AR, Northeast Arkansas Educational Service Cooperative 
AR, Northwest Arkansas Education Service Cooperative 
AR, Omaha School District 
AR, Ouachita River School District 
AR, Ozark Mountain School District 
AR, Ozark School District No. 14 
AR, Ozarks Unlimited Resources Educational Cooperative 
AR, Paragould School District No.1 
AR, Pocahontas School District No. 19 
AR, Poyen School District 
AR, Prairie Grove School District #23 
AR, Rector School District No.1 
AR, Rivercrest School District No. 57 
AR, Riverside School District Craighead County 
AR, Rose Bud School District 
AR, Salem School District No. 30 
AR, Scranton School District No. 22 
AR, Searcy County School District No. 17 
AR, Searcy Special School District 
AR, Sheridan School District No. 37 
AR, Shirley School District 
AR, Siloam Springs School District No. 21 
AR, Sloan-Hendrix School District No. 45 
AR, Smackover-Norphlet School District No. 39 
AR, South Central Service Cooperative 
AR, South Conway County School District 
AR, South Side School District (Van Buren) 
AR, Southside School District No. 3 
AR, Southwest Arkansas Education Cooperative 
AR, Southwest Arkansas Educational Cooperative 
AR, Special Procedures on Selected School Districts 
AR, Texarkana School District (Miller County) 
AR, Valley Springs School District 
AR, Valley View School District No. 58 
AR, Vilonia School District No. 17 
AR, Viola School District No.15 
AR, Waldron School District No. 45 
AR, West Memphis School District 4 
AR, West Memphis School District No.4 
AR, West Side School District 
AR, West Side School District Cleburne 
AR, West Side School District No. 40 
AR, Western Yell County School District No.9 
AR, Westside Consolidated School District No.5 
AR, Westside School District Johnson 
AR, White County Central School District No. 48 
AR, White Hall School District 
AR, Wilbur D. Mills Education Service Cooperative 
AR, Wonderview School District 
AR, Woodlawn School District 
AR, Yellville-Summit School District No.4 
AZ, Baboquivari Unified School District No. 40 
AZ, Benson Unified School District No.9 
AZ, Blackwater Community School 
AZ, Casa Blanca Community School Inc 
AZ, Chilchinbeto Community School Inc 
AZ, Colorado River Union High School District No.2 
AZ, Deer Valley Unified School District No. 97 
AZ, Dilcon Community School Inc 
AZ, Fort Huachuca Accommodation School District No. 00 
AZ, Fort Thomas Unified School District No.7 
AZ, Gila Crossing Community School 
AZ, Heber-Overgaard Unified School District No.6 
AZ, Higley Unified School District No. 60 
AZ, Hotevilla Bacavi Community School 
AZ, Many Farms Community School Inc 
AZ, Maricopa County Regional School District No. 509 
AZ, Mesa Unified School District No.4 
AZ, Miami Area Unified School District No. 40 
AZ, Morenci Unified School District No. 18 
AZ, Naatsisaan Community School Inc 
AZ, Nazlini Community School Inc 
AZ, Paradise Valley Unified School District No. 69 
AZ, Peach Springs Unified School District 8 
AZ, Pima County Joint Technical Education District No. 11 
AZ, Pinon Community School Board Inc 
AZ, Round Valley Unified School District No. 10 
AZ, Saddle Mountain Unified School District No. 90 
AZ, Sedona-Oak Creek Joint Unified School District No.9 
AZ, Theodore Roosevelt Boarding School 
AZ, Toltec Elementary School Districe No. 22 
AZ, Vail Unified School District No. 20 
CA, Alameda County Office of Education 
CA, Alexander Valley Union School District 
CA, Alpine County Office of Education 
CA, Alpine Union School District 
CA, Amethod Public School 
CA, Anaheim Union High School District 
CA, Bolinas-Stinson Union Elementary School District 
CA, Bonny Doon Union Elementary School District 
CA, Brawley Union High School District 
CA, Bret Harte Union High School District 
CA, Butte County Office of Education 
CA, Calaveras County Office of Education 
CA, Calexico Unified School District 
CA, Calistoga Joint Unified School District 
CA, Camino Union Elementary School District 
CA, Campbell Union School District 
CA, Capay Joint Union Elementary School District 
CA, Castro Valley Unified School District 
CA, Central Unified School District 
CA, Central Union High School District 
CA, Central Union School District 
CA, Chino Valley Unified School District 
CA, Chowchilla Union High School District 
CA, Coalinga Huron Unified School District 
CA, Columbia Union Elementary School District 
CA, Community Collaborative Virtual School 
CA, Contra Costa County Office of Education 
CA, Contra Costa County Special Education Local Plan Area 
CA, Corning Union High School District 
CA, Cotati-Rohnert Park Unified School District 
CA, Covina-Valley Unified School District 
CA, Curtis Creek Elementary School District 
CA, Cuyama Joint Unified School District 
CA, Davis Joint Unified School District 
CA, Delano Joint Union High School District 
CA, Desert Center Unified School District 
CA, Dos Palos-Oro Loma Joint Unified School District 
CA, Dunsmuir Joint Union High School District 
CA, E L Segundo Unified School District 
CA, East Nicolaus Joint Union High School District 
CA, East San Gabriel Valley Regional Occupational Program 
CA, East Side Union High School District 
CA, El Dorado Union High School District 
CA, El Monte Union High School District 
CA, Elkins Elementary School District 
CA, Escondido Union High School District 
CA, Evergreen Union Elementary School District 
CA, Fairfield Suisun Unified School District 
CA, Fall River Joint Unified School District 
CA, Fallbrook Union High School District 
CA, Foresthill Union Elementary School District 
CA, Fortuna Union High School District 
CA, Franklin-Mckinley School District 
CA, Fremont Union High School District 
CA, Fresno County Superintendent of Schools 
CA, Fullerton Joint Union High School District 
CA, Galt Joint Union Elementary School District 
CA, Galt Joint Union High School District 
CA, General Shafter Elementary School District 
CA, Glenn County Office of Education 
CA, Gold Oak Union Elementary School District 
CA, Gold Oak Union School District 
CA, Grass Valley Elementary School District 
CA, Greater Anaheim Special Education Local Plan Area 
CA, Hanford Joint Union High School District 
CA, Happy Valley Union Elementary School District 
CA, Hillsborough City Elementary School District 
CA, Hope Elementary School District (Santa Barbara County) 
CA, Hope Elementary School District (Tulare County) 
CA, Hospitality Industry Training and Education Fund 
CA, Howell Mountain Elementary School District 
CA, Humboldt County Office of Education 
CA, Huntington Beach City School District 
CA, Huntington Beach Union High School District 
CA, Imperial County Office of Education 
CA, Indian Diggings Elementary School District 
CA, Island Union Elementary School District 
CA, Janesville Union Elementary School District 
CA, Jefferson Union High School District 
CA, Junction Elementary School District (Shasta County) 
CA, Jurupa Unified School Distirct 
CA, Kashia Elementary School District 
CA, Kern County Office of Education 
CA, Kings County Office of Education 
CA, Kings River-Hardwick Union Elem. School District 
CA, Kingsburg Joint Union High School 
CA, Kingsburg Joint Union High School District 
CA, Klamath Trinity Joint Unified School District 
CA, La Mesa-Spring Valley School District 
CA, Lakeside Union School District 
CA, Lassen Union High School District 
CA, Laton Joint Unified School District 
CA, Laytonville Unified School District 
CA, Laytonville Unified School District-Ein Noted 
CA, Le Grand Union High School District 
CA, Lemoore Union High School District 
CA, Liberty Elementary School District (Sonoma County) 
CA, Liberty Elementary School District (Tulare County) 
CA, Lincoln Unified School District 
CA, Live Oak Unified School District 
CA, Livermore Valley Joint Unified School District 
CA, Los Angeles County Office of Education 
CA, Lucerne Valley Unified School District 
CA, Luther Burbank Elementary School District 
CA, Marcum-Illinois Union Elementary School District 
CA, Marin County Office of Education 
CA, Mariopsa County Unified School District 
CA, Mariposa County Office of Education 
CA, Mariposa County Unified School District 
CA, Mark Twain Union Elementary School District 
CA, Mark West Union School District 
CA, Mendocino County Office of Education 
CA, Menifee Union School District 
CA, Menlo Park City School District 
CA, Merced County Office of Education 
CA, Merced Union High School District 
CA, Miller Creek School District 
CA, Mission Union Elementary School District 
CA, Modoc County Office of Education 
CA, Modoc Joint Unified School District 
CA, Mono County Office of Education 
CA, Monson-Sultana Joint Union Elementary School District 
CA, Monterey County Office of Education 
CA, Moraga School District 
CA, Mother Lode Uniion School District 
CA, Mountain House Elementary School District 
CA, Mountain Union Elementary School District 
CA, Mountain View Los Altos Union High School District 
CA, Mountain View School District 
CA, Mt. Pleasant Elementary School District 
CA, Napa County Office of Education 
CA, Nevada County Superintendent of Schools 
CA, Nevada Joint Union High School District 
CA, North County Joint Union School District 
CA, Northern Humboldt Union High School District 
CA, Oak Run Elementary School District 
CA, Orchard Elementary School District 
CA, Orinda Union School District 
CA, Oxnard Union High School District 
CA, Pacific Union Elementary School District (Fresno County) 
CA, Pacific Union Elementary School District (Humboldt County) 
CA, Palo Alto Unified School District 
CA, Palo Verde Union Elementary School District 
CA, Panama Buena Vista Union School District 
CA, Paradise Unified School District 
CA, Perris Union High School District 
CA, Petaluma City Schools 
CA, Piedmont Unified School District 
CA, Pierce Joint Unified School District 
CA, Piner-Olivet Union Elementary School District 
CA, Placentia-Yorba Linda Unified School District 
CA, Placer County Office of Education 
CA, Plainsburg Elementary School District 
CA, Pleasant Ridge Union Elementary School District 
CA, Pleasant View School District 
CA, Plumas County Office of Education 
CA, Plumas Lake Elementary School District 
CA, Point Arena Schools District 
CA, Portola Valley Elementary School District 
CA, Potter Valley Community Unified School District 
CA, Princeton Joint Unified School District 
CA, Red Bluff Joint Union High School District 
CA, Redondo Beach Unified School District 
CA, Reed Union Elementary School District 
CA, Richland Union School District 
CA, Rim of the World Unified School District 
CA, Riverside County Office of Education 
CA, Roberts Ferry Union Elementary School District 
CA, Roseville City School District 
CA, Roseville Joint Union High School District 
CA, Ross Valley School District 
CA, Sacramento County Office of Education 
CA, San Benito County Schools Service Fund 
CA, San Benito High School District 
CA, San Bernardino County Superintendent of Schools 
CA, San Diego County Office of Education 
CA, San Francisco Unified School District 
CA, San Joaquin County Office of Education 
CA, San Lorenzo Valley Unified School District 
CA, San Mateo County Office of Education 
CA, San Miguel Joint Union School District 
CA, San Pasqual Valley Unified School District 
CA, San Rafael City Elementary School District 
CA, San Rafael City High School District 
CA, Santa Barbara County Education Office 
CA, Santa Cruz County Superintendent of Schools 
CA, Santa Maria Joint Union High School District 
CA, Santa Rosa City School District 
CA, Santa Ynez Valley Union High School District 
CA, Saratoga Union School District 
CA, Saugus Union School Distict 
CA, Saugus Union School Districit 
CA, Sausalito Marin City Elementary School District 
CA, Sebastopol Union School District 
CA, Shasta County Office of Education 
CA, Shasta Union High School District 
CA, Silver Valley Unified School District 
CA, Solano County Office of Education 
CA, Sonora Union High School District 
CA, Soulsbyville Elementary School District 
CA, South Bay Union Elementary School District (Humboldt County) 
CA, South Bay Union School District (San Diego County) 
CA, South Monterey County Joint Union High School District 
CA, Southern Humboldt Unified School District 
CA, Southern Trinity Joint Unified School District 
CA, Spencer Valley Elementary School District 
CA, Springville Union Elementary School District 
CA, Stanislaus Union School District 
CA, Stony Creek Joint Unified School District 
CA, Stony Creek Joint Unified School District-Ein Noted 
CA, Summerville Union High School District 
CA, Sundale Union Elementary School District 
CA, Sunnyside Union Elementary School District 
CA, Surprise Valley Joint Unified School District 
CA, Sutter County Superintendent of Schools 
CA, Sutter Union High School District 
CA, Sweetwater Union High School District 
CA, Taft Union High School District 
CA, Tehama County Department of Education 
CA, Temple City Unified School District 
CA, Templeton Unified School District 
CA, The Preuss School Ucsd 
CA, Three Rivers Union Elementary School District 
CA, Tulare Joint Union High School District 
CA, Tulelake Basin Joint Unified School District 
CA, Tuolumne County Office of Education 
CA, Vallecito Union School District 
CA, Ventura County Office of Education 
CA, Victor Valley Union High School District 
CA, Wasco Union School District 
CA, Washington Colony Elementary School District 
CA, Waukena Joint Union Elementary School District 
CA, West Sonoma County Union High School District 
CA, Westside Union Elementary 
CA, Wheatland Union High School District 
CA, Whittier Union High School District 
CA, William S. Hart Union High School District 
CA, Willow Creek Elementary School District 
CA, Winters Joint Unified School District 
CA, Woodland Joint Unified School District 
CA, Yolo County Office of Education 
CA, Yreka Union Elementary School District 
CA, Yuba County Office of Education 
CA, Yucaipa-Calimesa Joint Unified School District 
CO, Arapahoe County School District No. 1 
CO, Arapahoe County School District Number Six 
CO, Archuleta School District 50 Jt 
CO, Aspen School District Re 
CO, Baca County School District Re-4-Springfield 
CO, Bayfield School District 10-Jtr 
CO, Bayfield School District 
CO, Brush School District No. Re-2j 
CO, Byers School District Number 32j 
CO, Calhan School District RJ-1 
CO, Centennial Board of Cooperative Educational Services 
CO, Center Consolidated School District 26 Jt 
CO, Cheyenne Mountain School District 12 
CO, Colorado River Board of Cooperative Educational Services 
CO, Colorado Springs School District 11 
CO, Conejos School District No. 6j 
CO, Counties of Adams and Weld School District 27j 
CO, Crowley County School District Number Re-1-J 
CO, Custer County School District Number C-1 
CO, Delta County Joint School District No. 50j 
CO, Eagle County Schools District 
CO, Eagle County Schools District Re50j 
CO, East Central Board of Cooperative Educational Services 
CO, El Paso County School District 22 
CO, El Paso County School District 49 
CO, El Paso County School District No. 14 
CO, El Paso County School District No.3 
CO, El Paso County School District No.8 
CO, El Paso County School District Two-Harrison 
CO, Elizabeth School District 
CO, Estes Park School District No.R-3 
CO, Freemont County School District Re-2 
CO, Fremont County School District Number Re-2 
CO, Garfield School District Re-2 
CO, Gunnison Watershed School District Re-1 
CO, Joint School District No 28-J of the Counties of Adams and Arapahoe 
CO, La Veta Public Schools 
CO, Lake County School District R-1 
CO, Lamar School District Re-2 
CO, Logan County School District No. Re-1 Valley 
CO, Mapleton Public Schools Adams County School District No 1 
CO, Meeker School District Re-1-Rio Blanco County 
CO, Monte Vista School District No.8 
CO, Montezuma County Cortez School District Re-1 
CO, Montezuma County School District Re-4a 
CO, Morgan County School District Re-3 
CO, Northeast Colorado Board of Cooperative Educational Services 
CO, Northwest Colorado Board of Cooperative Educational Services 
CO, Pagosa Peak Open School 
CO, Pikes Peak Board of Cooperative Educational Services 
CO, Poudre School District 
CO, Pueblo County School District No. 70 
CO, Salida School District Number R-32-J 
CO, San Juan Board of Cooperative Educational Services 
CO, San Luis Valley BOCES 
CO, Santa Fe Trail BOCES 
CO, School District 27j 
CO, School District Fremont Re-1 
CO, School District No. 1 in the City and County of Denver and State of Colorado 
CO, South Central BOCES 
CO, Southeastern BOCES 
CO, Summit School District Re-1 
CO, Telluride School District 
CO, Thompson School District R2-J 
CO, Ute Pass Board of Cooperative Educational Services 
CO, Weld County School District 6 
CO, Weld County School District Re-3j 
CO, Weld County School District Re-4 
CO, Weld County School District Re-5j 
CO, Weld County School District Re-8 
CO, Weld County School District Re-9 
CO, Westminster Public Schools 
CT, Amity Regional School District No 5 
CT, Capitol Regional Education Council 
CT, Eastern Connecticut Regional Educational Service Center 
CT, Nonnewaug Regional School District 14 
CT, Pomperaug Regional School District 15 
CT, Regional School District No 11 Central Office Committee 
CT, Regional Supervision District Board of Education 
CT, Shepaug Regional School District 12 
CT, State Education Resource Center 
DE, Tarbiyah School 
FL, Andrews High School 
FL, Aventura City of Excellence School 
FL, Berkley Elementary School District 
FL, Biscayne High School 
FL, Byrneville Elementary School 
FL, C.G. Bethel High School 
FL, Calhoun County District School Board 
FL, Chambers High School 
FL, Creative Inspiration Journey of St. Cloud 
FL, Desoto County District School Board 
FL, Don Soffer Aventura High School 
FL, Dr. Kiran C. Patel High School 
FL, Duval County Public Schools 
FL, Florida Virtual School 
FL, Hernando County District School Board 
FL, Imagine School at North Lauderdale Elementary 
FL, Immokalee Community School 
FL, Island Park High School 
FL, Janie Howard Wilson School 
FL, Jefferson County District School Board 
FL, Jefferson County Elementary School District 
FL, Kinder Cub School 
FL, Kipp Impact K8 
FL, Lafayette County District School Board 
FL, Lake County District School Board 
FL, Lake Wales Senior High School 
FL, Lone Star High School 
FL, Madison County District School Board 
FL, Marion District School Board County 
FL, Mcintosh Area School 
FL, Micanopy Area Cooperative School 
FL, Monroe County District School Board 
FL, Nature Coast Middle School 
FL, New Beginnings High School 
FL, New Springs Elementary School 
FL, Palm Pointe Educational Research School at Tradition 
FL, Pasco County District School Board 
FL, Pensacola Beach Elementary School 
FL, Polk Avenue Elementary School 
FL, Quantum High School 
FL, Slam Boca 
FL, St Johns Conty District School Board 
FL, St. Johns County District School Board 
FL, Suncoast School for Innovative Studies 
FL, Suned High of South Broward 
FL, Sunrise High School 
FL, Sunshine High School Greater Orlando Campus 
FL, Terrace Community Middle School 
FL, The Einstein School 
FL, The Florida School for the Deaf and the Blind 
FL, The One Room School House Project 
FL, The School Board of Broward County 
FL, The School Board of Miami-Dade County 
FL, The School District of Hillsborough County 
FL, The School District of Lee County 
FL, The School District of Palm Beach County 
FL, The Seaside School 
FL, Toussaint L Ouverture High School for Arts and Social Justice 
GA, Barrow County Board of Education 
GA, Bartow County Board of Education 
GA, Bibb County School District 
GA, Board of Education of the City of Marietta 
GA, Cherokee County School District 
GA, City of Bremen Board of Education 
GA, City of Buford Board of Education 
GA, City of Calhoun Board of Education 
GA, City of Carrollton Board of Education 
GA, City of Cartersville Board of Education 
GA, City of Chickamauga Board of Education 
GA, City of Commerce Board of Education 
GA, City of Dalton Board of Education 
GA, City of Decatur Board of Education 
GA, City of Dublin Board of Education 
GA, City of Gainesville Board of Education 
GA, City of Jefferson Board of Education 
GA, City of Pelham Board of Education 
GA, City of Social Circle Board of Education 
GA, City of Thomasville Board of Education 
GA, City of Trion Board of Education 
GA, City of Valdosta Board of Education 
GA, City of Vidalia Board of Education 
GA, Griffin-Spalding County School System 
GA, Jefferson City Board of Education 
GA, Lowndes County Board of Education 
GA, North Georgia Regional Educational Service Agency 
GA, Rome City Schools 
GA, Savannah-Chatham County Board of Education 
GA, Savannah-Chatham County Public Schools 
GA, School District Banks County 
GA, School District Ben Hill County 
GA, School District Berrien County 
GA, School District Bleckley County 
GA, School District Brooks County 
GA, School District Burke County 
GA, School District Calhoun County 
GA, School District Candler County 
GA, School District Central Savannah River Resa 
GA, School District Chattahoochee County 
GA, School District Chattahoochee-Flint Resa 
GA, School District Chattooga County 
GA, School District Coastal Plains Resa 
GA, School District Colquitt County 
GA, School District Cook County 
GA, School District Coweta County 
GA, School District Crawford County 
GA, School District Dodge County 
GA, School District Dooly County 
GA, School District Dougherty County 
GA, School District Early County 
GA, School District Effingham County 
GA, School District Emanuel County 
GA, School District First District Resa 
GA, School District Floyd County 
GA, School District Glascock County 
GA, School District Glynn County 
GA, School District Grady County 
GA, School District Griffin Resa 
GA, School District Habersham County 
GA, School District Hall County 
GA, School District Hancock County 
GA, School District Harris County 
GA, School District Heart of Georgia Resa 
GA, School District Irwin County 
GA, School District Jackson County 
GA, School District Jeff Davis County 
GA, School District Jenkins County 
GA, School District Liberty County 
GA, School District Lumpkin County 
GA, School District Macon County 
GA, School District Mcintosh County 
GA, School District Meriwether County 
GA, School District Metro Resa 
GA, School District Middle Georgia Resa 
GA, School District Miller County 
GA, School District Mitchell County 
GA, School District Monroe County 
GA, School District Montgomery County 
GA, School District Murray County 
GA, School District North Georgia Resa 
GA, School District Northwest Georgia Resa 
GA, School District Oconee Resa 
GA, School District Oglethorpe County 
GA, School District Okefenokee Resa 
GA, School District Pickens County 
GA, School District Pierce County 
GA, School District Pike County 
GA, School District Pioneer Resa 
GA, School District Polk County 
GA, School District Pulaski County 
GA, School District Putnam County 
GA, School District Quitman County 
GA, School District Randolph County 
GA, School District Schley County 
GA, School District Southwest Georgia Resa 
GA, School District Sumter County 
GA, School District West Georgia Resa 
GA, School District Wilcox County 
GA, Seminole County Board of Education 
GA, Stephens County Board of Education 
GA, Talbot County Board of Education 
GA, Telfair County Board of Education 
GA, Terrell County Board of Education 
GA, Thomaston-Upson County Board of Education 
GA, Treutlen County Board of Education 
GA, Turner County Board of Education 
GA, Twiggs County Board of Education 
GA, Walton County School District 
GA, Wheeler County Board of Education 
GA, White County Board of Education 
GA, Wilkes County Board of Education 
GA, Wilkinson County Board of Education 
GA, Worth County Board of Education 
GU, Guam Department of Education 
HI, Hawaii Department of Education 
HI, Kualapuu School 
IA, A-H-S-T Community School District 
IA, Adel-Desoto-Minburn Community School District 
IA, Albert City Truesday Community School District 
IA, Alta Community School District 
IA, Bettendorf Community School District 
IA, Central Community School District 
IA, Central Rivers Area Education Agency 267 
IA, Davenport Community School District 
IA, Grant Wood Area Education Agency 10 
IA, Great Prairie Area Education Agency 
IA, Green Hills Aea 
IA, Hlv Community School District 
IA, Iowa Education Benefits Program 
IA, Iowa Star School 28e Retention Pool Trust 
IA, Keystone Area Education Agency 1 
IA, Mississippi Bend Area Education Agency 9 
IA, Mount Pleasant Community School District 
IA, Mount Vernon Community School District 
IA, Odebolt Arthur Battle Creek Ida Grove Community School District 
IA, Prairie Lakes Area Education Agency 
IA, South Winneshiek Community School District 
IA, Treasurer of State Iowa Educational Savings Plan Trust 
IA, Van Buren Community School District 
ID, Bruneau-Grand View Joint School District No. 365 
ID, Cassia County Jt. School District 151 
ID, Coeur Dalene School District No. 271 
ID, Emmett Joint School District No 221 
ID, Fremont County Joint School District 215 
ID, Homedale Jt. School District No. 370 
ID, Independent School District No.1 Lewiston 
ID, Independent School District of Boise City 
ID, Jefferson Joint School District No. 251 
ID, Joint School District 21 
ID, Joint School District No. 171 
ID, Joint School District No.2 
ID, Mccall-Donnelly Joint School District No. 421 
ID, Minidoka Joint School District No. 331 
ID, Plummer Worley Joint School Distrcit No 44 
ID, Preston School District No. 201 
ID, St. Maries Joint School District No. 41 
IL, Alrington Heights School District 25 
IL, Alsip Hazelgreen and Oak Lawn School District 126 
IL, Anna Cc School Dist 37 
IL, B-M-P Tri-County Special Education Cooperative 
IL, Benton CCSD 47 
IL, Berwyn South School District 100 
IL, Black Hawk Area Special Education District Joint Agreement No. 865 
IL, Board of Education of the City of Peoria District No. 150 
IL, Brookfield-Lagrange Park School District 95 
IL, Bureau Henry and Stark Counties Regional Office of Education No. 28 
IL, Burr Ridge Community Consolidated School District 180 
IL, Capital Area Career Center 
IL, Career Center of Southern Illinois 
IL, Carmi-White County Community Unit School District No.5 
IL, Centralia City Schools District 135 
IL, Chicago Board of Education 
IL, Clinton Community Unit School District 
IL, Community Consolidated School District 15 
IL, Community Consolidated School District 181 
IL, Community Consolidated School District No. 146 
IL, Community Consolidated School District No. 62 
IL, Community Consolidated School District No. 65 
IL, Community High School District 218 
IL, Community High School District 99 
IL, Community High School District No. 155 
IL, Community High School District No. 94 
IL, Community Unit School District 100 
IL, Community Unit School District 303 
IL, Community Unit School District No. 140 
IL, Community Unit School District No. 20 
IL, Community Unit School District No. 201 
IL, Community Unit School District No. 308 
IL, Consolidated High School District 230 
IL, Cook County Midlothian School District No. 143 
IL, Cook County School District 104 
IL, Cook County School District 130 
IL, Cook County School District 151 
IL, Cooperative Association for Special Education 
IL, Country Club Hill School District 160 
IL, County of Winnebago School District No. 320 
IL, Dewitt Livingston Logan and Mclean Counties Regional Office of Education No. 17 
IL, Dolton West School District 148 
IL, Dupage County School District 45 
IL, Duquoin Community Unit School District 300 
IL, East St. Louis Area Joint Agreement 
IL, Echo Joint Agreement 
IL, Four Rivers Special Education District No. 801 
IL, Frankfort Community Unit School District 168 
IL, Franklin-Jefferson County Special Education District 
IL, Gallatin County Community Unit School District 7 Gallatin County Community Unit School District 7 
IL, Georgetown-Ridge Farm Comm Unit School No. 4 
IL, Gibson City Melvin Sibley CUSB No. 5 
IL, Grayslake Community Consolidated School District No. 46 
IL, Henderson Mercer and Warren Counties Regional Office of Education 33 
IL, Henry-Stark Counties Special Education District No. 801 
IL, Hinsdale Township High School District No. 86 
IL, Homer Community Consolidated School District 33c 
IL, Kildeer Countryside Consolidated School District 
IL, La Salle Elementary School District No. 122 
IL, Lagrange Elementary School District 102 
IL, Lagrange School District 105 South 
IL, Lasalle-Peru Township High School District No. 120 
IL, LaSalle-Peru Township High School No. 120 
IL, Legacy Law School Corporation 
IL, Lemont-Bromberek Combined School District 113A 
IL, Leyden Area Special Education 
IL, Lincoln-Way Community High School District 210 
IL, Mahomet-Seymour Community Unit School District No.3 
IL, Marengo-Union Elementary Consolidated School District No. 165 
IL, Massac County Community Unit School District No.1 
IL, Moline-Coal Valley School Dist No 40 
IL, Momence Community Schools Unit District 1 
IL, Mount Prospect School District 57 
IL, Mt. Vernon City Schools District 80 
IL, Naperville Community Unit School Distrcit No. 203 
IL, North Greene Unit School District No.3 
IL, Northwest Suburban Special Education Organization SEJA No. 805 
IL, Oak Lawn Community High School District 229 
IL, Ogle County Educational Cooperative 
IL, Orland School District 135 
IL, Ottawa Township High School District No. 140 
IL, Park Forest-Chicago Heights School District 163 
IL, Park Ridge-Niles School District 64 
IL, Posen-Robbins Elementary School District 143 1-2 
IL, Prairie-Hills Elementary School District 144 
IL, Rantoul City Schools District No. 137 
IL, Rantoul Township High School Disrtict No. 193 
IL, Richland County Community Unit School District No. 1 
IL, Rochester Community Unit School District No. 3A 
IL, Rock Island-Milan School District No. 41 
IL, School District U-46 
IL, Skokie-Morton Grove School District No. 69 
